"","x"
"1",0.000239559070983653
"2",0.00885281757341931
"3",0.00452353501541379
"4",0.00635106377792362
"5",0.00950028647643999
"6",0.00443398081307085
"7",0.00317334422365072
"8",0.00169319234005396
"9",0.0356126640290763
"10",0.0266089730596484
"11",0.0146394104427725
"12",0.0031428629753332
"13",0.00345946709346048
"14",0.00249549635300114
"15",0.0056723200179421
"16",0.00799022546282385
"17",0.00278010203692483
"18",0.00209692913567748
"19",0.00228529921167564
"20",0.00469180573234743
"21",0.00129515846564419
"22",0.00251531151103122
"23",0.00182251516319508
"24",0.00755939102885874
"25",0.00349536210472741
"26",0.00550811015940871
"27",0.00135046998182652
"28",0.00241395358883839
"29",0.00150175031951963
"30",0.00692645337824751
"31",0.00363101397330464
"32",0.0175953282400139
"33",0.00535204037194577
"34",0.00313675455495902
"35",0.00474155217360777
"36",0.00271781746084201
"37",0.00578289110914358
"38",0.00793309640339089
"39",0.00275073720109136
"40",0.0460381007547858
"41",0.00329237012765576
"42",0.00211926381820549
"43",0.00243742352357524
"44",0.00381774379022881
"45",0.0230351904437151
"46",0.00109295358051394
"47",0.00348111086422768
"48",0.0108421457364962
"49",0.00171956395290106
"50",0.139240641344295
"51",0.0015544239950833
"52",0.00167224544729513
"53",0.00646802189667475
"54",0.00540180638620356
"55",0.00653207245161504
"56",0.00659866488992739
"57",0.00162451077611193
"58",0.00544852522413085
"59",0.00235887510995731
"60",0.0118986385681488
"61",0.00645252178123077
"62",0.00547925046194463
"63",0.00726974576881319
"64",0.00126540306135386
"65",0.00110650554540132
"66",0.00317441972391571
"67",0.00360536033096122
"68",0.0013182570669053
"69",0.00337358147617879
"70",0.00435341030805845
"71",0.0278359492697123
"72",0.00425322193478681
"73",0.00105167833897651
"74",0.00496454561030722
"75",0.00420752445694849
"76",0.00543655363915428
"77",0.00986491919868878
"78",0.00207847419503612
"79",0.0104385451186133
"80",0.0012226568125456
"81",0.0069569040299054
"82",0.00904886413104337
"83",8.70174015479321e-05
"84",0.000336319443125508
"85",0.00330408979832907
"86",0.00259945344911839
"87",0.00272510308547565
"88",0.00307545510306431
"89",0.00218253190325884
"90",0.006094801707365
"91",0.00227900530343097
"92",0.00647329802429034
"93",0.00765552043131284
"94",0.00011395808787157
"95",0.00209055157412677
"96",0.00643075887785468
"97",0.00310611799131459
"98",0.00433713852532887
"99",0.0388449986879873
"100",0.00385382551056668
"101",0.0031183465511406
"102",0.00112765045622232
"103",0.0119602997134424
"104",0.00459090291144375
"105",0.00456521975410777
"106",0.000640477946403236
"107",0.0165748466957036
"108",0.00102293554816998
"109",0.00653929678348479
"110",0.036579583814377
"111",0.00328432405143444
"112",0.0163557843529198
"113",0.0061927817119754
"114",0.0171554508249142
"115",0.00254568255865709
"116",0.00086620347900675
"117",0.00981650299520301
"118",0.0052802236825184
"119",0.00458633609615611
"120",0.000581656161377781
"121",0.00349516530166193
"122",0.00414474703998466
"123",0.00357762365548197
"124",0.0135650001483128
"125",0.0300289472947321
"126",0.00917430363274182
"127",0.00216791395592477
"128",0.00132065406483233
"129",0.00428289695917456
"130",0.000767768092858944
"131",0.00167841146526282
"132",0.00343783099308169
"133",0.00475838785042918
"134",0.00322079384463138
"135",0.0332923272936938
"136",0.00271186442360774
"137",0.0193713220437258
"138",0.0060112567106764
"139",0.00224781957844303
"140",0.00392930137287806
"141",0.0204748166601628
"142",0.00424147518198216
"143",0.0022811005095221
"144",0.00695038740462716
"145",0.0179873908348631
"146",0.000544962328791677
"147",0.00107376664226333
"148",0.00374306473660123
"149",0.00519483386735252
"150",0.00394663901149031
"151",0.0120714558371242
"152",0.0098568712790768
"153",0.0115009043098393
"154",0.00277644171510468
"155",0.00042358030556738
"156",0.00583258804095506
"157",0.000584419276915665
"158",0.0163174672804577
"159",0.00475525770522036
"160",0.00267943611863754
"161",0.00172598872775053
"162",0.0181318910372931
"163",0.00646076496629373
"164",0.0035967635323506
"165",8.10762799738172e-05
"166",0.00949007570902324
"167",0.00199662154632402
"168",0.00191385820757602
"169",0.00193124880329542
"170",0.00189262369414818
"171",0.0261811326662642
"172",0.0077164998928282
"173",0.0362813471724763
"174",0.0182015608293622
"175",0.00150831915549518
"176",0.0175199733662786
"177",0.00582980062875762
"178",0.00561104605661644
"179",0.019385178114663
"180",0.00579574121924793
"181",0.018433960577028
"182",0.00446278482061534
"183",0.0182888130351284
"184",0.00716026076547467
"185",0.00367700980080415
"186",0.0080570861770791
"187",0.00171994062147303
"188",0.0104561323184134
"189",0.00865147254427215
"190",0.00790572971296454
"191",0.000156408655111244
"192",0.00239588115785606
"193",0.00108342000987633
"194",0.00412920701284027
"195",0.0126288905884789
"196",0.0027780766639383
"197",0.010793180882489
"198",0.00871430569421592
"199",0.00353926321372552
"200",0.00228858455964263
"201",0.000143117067063618
"202",0.0144611777605496
"203",0.00119287703322192
"204",0.00336990221441107
"205",0.00244322136408729
"206",0.00194049799633581
"207",0.00732202262520278
"208",0.00534102547370963
"209",0.00506857279774406
"210",0.0103899585149803
"211",0.00474055629468973
"212",0.00394249355452734
"213",0.0435320144273574
"214",0.000887901379820443
"215",0.00973143070974448
"216",0.00168027410985341
"217",0.00254260103667494
"218",0.00644064594809399
"219",0.00385320942980149
"220",0.00373321548989169
"221",0.00169857905492839
"222",0.000829084459038057
"223",0.00210099279380525
"224",0.00239603743822568
"225",0.010972453217408
"226",0.0018334115602905
"227",0.00422895303836715
"228",0.0110302083210415
"229",0.0183778264080509
"230",0.0182618180473744
"231",0.00184282213728453
"232",0.00494449727706619
"233",0.00224709943520342
"234",0.00396791671537128
"235",0.00391877931924899
"236",0.000828842283320698
"237",0.00674182891078526
"238",0.0101130368174566
"239",0.00198708046878619
"240",0.0037138994555255
"241",0.00565474591073884
"242",0.00642035432600997
"243",0.0171317463647719
"244",0.00908679725335031
"245",0.00130572264571254
"246",0.00240546262703992
"247",0.0268831460607491
"248",0.00171308533593753
"249",0.00326025814535399
"250",0.00151511520739243
"251",0.00469540459614414
"252",0.00553684669845334
"253",0.00457410560641601
"254",0.00597555177170051
"255",0.00283847100731085
"256",0.00401277259979836
"257",0.0124910738994273
"258",0.00350940821156395
"259",0.00176034550904365
"260",0.00380208975604886
"261",0.00314803850142632
"262",0.00257017458774033
"263",0.00530577712075989
"264",0.00478110991768064
"265",0.00509346145220322
"266",0.00367674682023732
"267",0.00632283618083056
"268",0.0033909068871893
"269",0.00181951767707811
"270",0.00231194915196556
"271",0.00536154605153041
"272",0.0113391583036593
"273",0.0136304085843809
"274",0.00181524857453063
"275",0.00821648393942537
"276",0.00164730563094034
"277",0.00221146674250085
"278",0.000430653722538889
"279",0.00281479109030074
"280",0.00185670391529996
"281",0.00212474781660726
"282",0.00202596793040265
"283",0.00263876693238171
"284",0.0078636475615803
"285",0.00436140463864422
"286",0.00020265897020555
"287",0.00465758775923997
"288",0.0147288413708663
"289",0.000940125692019428
"290",0.00374286069520676
"291",0.00299820777604798
"292",0.0052405502861921
"293",0.0036076580015062
"294",0.0142043061338557
"295",0.00345153302228101
"296",0.00343354837906502
"297",0.00513430582400672
"298",0.00230664682969794
"299",0.00567897277688497
"300",0.00743242668203639
"301",0.0187277626447879
"302",0.0030667736740963
"303",0.00138037281413336
"304",0.00172430350686324
"305",0.00602549165854184
"306",0.00694348873366161
"307",0.00189805465697402
"308",0.00212366812802697
"309",0.0051476639483486
"310",0.00846894362740683
"311",0.00600689619583837
"312",0.00755947436228812
"313",0.00349716745215806
"314",0.00575747490622016
"315",0.0014595258461826
"316",0.00149024106950506
"317",0.00464807892517078
"318",0.0119745467576608
"319",0.000785223636957813
"320",0.00191798103992198
"321",0.0116466947660153
"322",0.00220295331461323
"323",0.00120779972919913
"324",0.00495216458128605
"325",0.00356318027450575
"326",0.00164121943920493
"327",0.02846387101722
"328",0.0016822110590595
"329",0.00104314774371135
"330",0.00342535385450896
"331",0.00320588722733872
"332",0.00166119035945366
"333",0.00356526677350696
"334",0.00393527802109244
"335",0.00381110592640301
"336",0.00883756760735684
"337",0.00461549941394635
"338",0.00241007972661968
"339",0.00204995260903658
"340",0.00660679336263564
"341",0.00168487801311721
"342",0.00643118626190101
"343",0.000997395847468013
"344",0.0141420231269476
"345",0.0137126725490099
"346",0.00093504425497435
"347",0.00669868344647909
"348",0.00359361677574441
"349",0.00777691064153662
"350",0.00533590477766879
"351",0.00296827262916518
"352",0.00582755455258804
"353",0.00697203605158264
"354",0.00222634255795431
"355",0.00344547817075604
"356",0.00238518778034447
"357",0.00465310298631241
"358",0.000814858945766902
"359",0.0077243174665502
"360",0.00216985657012059
"361",0.00257165547029993
"362",0.00950723209501161
"363",0.00178130502654551
"364",0.00202687024265905
"365",0.0016929710271834
"366",0.001841343356994
"367",0.0125610694777285
"368",0.0475429303686023
"369",0.0021515112537446
"370",0.00370406754992699
"371",0.0563182000747165
"372",0.00284633186571443
"373",0.00506579508585347
"374",0.00699378608194058
"375",0.00191674671606891
"376",0.00170683471122163
"377",0.00618230702368563
"378",0.0114406897072892
"379",0.0022853027141291
"380",0.00912719847645527
"381",0.00535293788076127
"382",0.00387138386007129
"383",0.00710274013978762
"384",0.00988463768444267
"385",0.00180400057308456
"386",0.000928426247893213
"387",0.00182745578494764
"388",0.00189789815726215
"389",0.00383899997068131
"390",0.00171012895104844
"391",0.00462895006126299
"392",0.0182187993076684
"393",0.0027919489206837
"394",0.00339486292526659
"395",0.0113371637494778
"396",0.00530650185659857
"397",0.00142865286036382
"398",0.0614759237500196
"399",0.0326136083658298
"400",0.0235895274657615
"401",0.00597645129249675
"402",0.00467527631175053
"403",0.00754347630418705
"404",0.00279404484213399
"405",0.00366252910696336
"406",0.0105876816174877
"407",0.00332009520557335
"408",0.00377940550563044
"409",0.00872753300010585
"410",0.00721331510953288
"411",0.0217005199887429
"412",0.0146547634731611
"413",0.0158051081053656
"414",0.00651184187592727
"415",0.00341173796649031
"416",0.00683871739054415
"417",0.0028941686990524
"418",0.00153442196354094
"419",0.0013527146832097
"420",0.00556350786837097
"421",0.00180932380096984
"422",0.0025512246605459
"423",0.00844892784303986
"424",0.00407840331987341
"425",0.00579903558921908
"426",0.00819532190480866
"427",0.00504946427364021
"428",0.00171943694148199
"429",0.00247789106849521
"430",0.00921630768783471
"431",0.0526019216273223
"432",0.0128407620984613
"433",0.0056382205462452
"434",0.00635341483011795
"435",0.000849584407976214
"436",0.0360307763887134
"437",0.0119121301408619
"438",0.000938390360968953
"439",0.00272950864975156
"440",0.00846280073682716
"441",0.00482481838517757
"442",0.00246730346931538
"443",0.00290206190448342
"444",0.00463756371280825
"445",0.00744708823280986
"446",0.00349384322248113
"447",0.00245808046811675
"448",0.00411169852276825
"449",0.00163132206082381
"450",0.00125238664360658
"451",0.00293641288025558
"452",0.00955508040815149
"453",0.004291574937276
"454",0.00694069020521945
"455",0.00125637348805157
"456",0.0100680924050167
"457",0.00445499098621026
"458",0.00535479553199403
"459",0.0140247779884208
"460",0.00338079182580809
"461",0.00541966304055581
"462",0.00626647888304859
"463",0.00153086819540424
"464",0.00221939389097278
"465",0.0136744120730202
"466",0.0031192133645416
"467",0.00562952720515503
"468",0.00226441241740774
"469",0.00255505916945433
"470",0.00305952385871333
"471",0.00155225883906376
"472",0.017098229054496
"473",0.168395006540566
"474",0.00401745158681644
"475",0.00998488219126526
"476",0.000520491072933681
"477",0.00348916786017408
"478",0.00864543877607955
"479",0.00868220781509997
"480",0.00355376793501848
"481",0.00863149831817762
"482",0.00210644410029943
"483",0.0027563685650824
"484",0.00072337548413399
"485",0.0198254843399098
"486",0.0044918024693214
"487",0.00956164671565424
"488",0.00617394692512041
"489",0.00845470690834487
"490",0.00241695024409832
"491",0.00151641373549883
"492",0.021314588922528
"493",0.0236658904335481
"494",0.0031525621088123
"495",0.00761722442316638
"496",0.00261114959175565
"497",0.00302215489915332
"498",0.0108986535847615
"499",0.0096292569532711
"500",0.0223956024547501
"501",0.00285354304788196
"502",0.0111435631778746
"503",0.0477062088611963
"504",0.00945843502566682
"505",0.00295626436077742
"506",0.00331410111548016
"507",0.0360952036915479
"508",0.00572644385227289
"509",0.00520341635437772
"510",0.00407586929272995
"511",0.00242117485829742
"512",0.0046027714146558
"513",1.04060015926989e-05
"514",0.00493638865737852
"515",0.00550623200535571
"516",0.00302649620065719
"517",0.00352409083056084
"518",0.0110898087043139
"519",0.0155976683587416
"520",0.0024022880358384
"521",0.0202784896362716
"522",0.0068099326323865
"523",0.00655642559413569
"524",0.00741966060645589
"525",0.0230799967593767
"526",0.00261490075497905
"527",0.00335339167355434
"528",0.0030619409421363
"529",0.00347642877316146
"530",0.00632568858054828
"531",0.00394640439738772
"532",0.00906864289610218
"533",0.00247544591085325
"534",0.0123129424721117
"535",0.00172263363476043
"536",0.0668082013804668
"537",0.00448224601637985
"538",0.00143170873916924
"539",0.00508725633594543
"540",0.00753083650960611
"541",0.00209724582901026
"542",0.00900721146872624
"543",0.00467469405282655
"544",0.00313520889687202
