CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,Condition,Time,Session,IndicatedTrial,LatencyFirstLand,LatencyFirstLand2,LatencyFirstLandSummedAcrossCol_L_andCol_M,Total seconds in pt1 video (from when experimenter leaves view),"LatencyFirstTimeWithin20cmOfObject (pt2 latency starts at p2 video, so need to add total time of pt1 video to total)",LatencyFirstTimeWithin20cmOfObject (pt2 latency starts from pt1 beginning),LatencyFirstTouchToObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView(sec),ClosestDistanceToApparatus,TrialEndTimeStamp,TrialDuration,Notes
2021-01-29,AJB,A087AG 2019-12-18 ExploreEnv Time1 Familiar T1 (pt. 1),2019-12-18,MM,A087AG,Environment,Familiar,1,n/a,1,60.00,60.00,,,827.20,,n/a,832.60,0.80,12.80,449.40,1632.80,Near,,2095.60,
2021-01-29,AJB,A087AG 2019-12-18 ExploreEnv Time1 Familiar T1 (pt. 2),2019-12-18,MM,A087AG,Environment,Familiar,1,n/a,1,,232.60,,,301.80,,n/a,307.80,0.40,6.40,69.60,547.80,Near,,623.60,
2021-01-29,AJB,A087AG 2019-12-18 ExploreEnv Time1 Novel T1 (pt. 1),2019-12-18,MM,A087AG,Environment,Novel,1,n/a,1,624.60,624.60,,,n/a,2701,n/a,n/a,n/a,n/a,n/a,n/a,OutOfView,,2073.00,No solomon output excel file b/c nothing happened
2021-01-29,AJB,A087AG 2019-12-18 ExploreEnv Time1 Novel T1 (pt. 2),2019-12-18,MM,A087AG,Environment,Novel,1,n/a,1,,166.80,,,n/a,,n/a,n/a,n/a,n/a,54.40,583.40,Far,,637.60,
2021-01-29,AJB,A087AG 2020-01-21 ExploreEnv Time2 Familiar T1 (pt. 1),2020-01-21,MM,A087AG,Environment,Familiar,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,2159.20,OutOfView,,2159.20,No solomon output excel file b/c nothing happened
2021-01-29,AJB,A087AG 2020-01-21 ExploreEnv Time2 Familiar T1 (pt. 2),2020-01-21,MM,A087AG,Environment,Familiar,2,n/a,1,2548,388.80,,,392.40,,n/a,392.80,0.60,0.60,165.40,468.20,Near,,634.60,
2021-01-29,AJB,A087AG 2020-01-21 ExploreEnv Time2 Novel T1 (pt. 1),2020-01-21,MM,A087AG,Environment,Novel,2,n/a,1,924.60,924.60,,,931.60,931.60,n/a,n/a,n/a,31.00,289.80,1789.80,Near,,2110.40,
2021-01-29,AJB,A087AG 2020-01-21 ExploreEnv Time2 Novel T1 (pt. 2),2020-01-21,MM,A087AG,Environment,Novel,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,OutOfView,,603.00,No solomon output excel file b/c nothing happened
2021-01-29,AJB,A087AG 2019-12-19 ExploreObj Time1 Familiar T1 (pt. 1),2019-12-19,MM,A087AG,Object,Familiar,1,n/a,1,21.20,21.20,,,44.60,,n/a,n/a,n/a,10.00,414.20,1567.80,Far,,1991.80,
2021-01-29,AJB,A087AG 2019-12-19 ExploreObj Time1 Familiar T1 (pt. 2),2019-12-19,MM,A087AG,Object,Familiar,1,n/a,1,,590.20,,,n/a,,n/a,n/a,n/a,n/a,133.40,615.60,Far,,748.80,
2021-01-29,AJB,A087AG 2019-12-19 ExploreObj Time1 Novel T1 (pt. 1),2019-12-19,MM,A087AG,Object,Novel,1,n/a,1,987.20,987.20,,,n/a,,n/a,n/a,n/a,n/a,134.00,1864.20,Far,,1998.00,
2021-01-29,AJB,A087AG 2019-12-19 ExploreObj Time1 Novel T1 (pt. 2),2019-12-19,MM,A087AG,Object,Novel,1,n/a,1,,570.60,,,n/a,,n/a,n/a,n/a,n/a,103.60,612.40,Far,,715.80,
2021-01-29,AJB,A087AG 2020-01-22 ExploreObj Time2 Familiar T1 (pt. 1),2020-01-22,MM,A087AG,Object,Familiar,2,n/a,1,11.00,11.00,,,15.60,,23.00,n/a,n/a,109.20,55.80,1877.20,Touch,,2042.00,
2021-02-01,AJB,A087AG 2020-01-22 ExploreObj Time2 Familiar T1 (pt. 2),2020-01-22,MM,A087AG,Object,Familiar,2,n/a,1,,634.80,,,638.00,,n/a,n/a,n/a,14.00,44.40,634.40,Near,,692.60,
