              ,post.mean ,l-95% CI ,u-95% CI ,eff.samp , pMCMC ,  
(Intercept)   ,4.43921,4.24323,4.63401,420,<0.002 ,**
Reverse Number ,-0.05558,-0.09386,-0.01920,420,<0.002 ,**
