"","Date","BirdID","TimeStamp","How","What","WhatAsEnteredByExperimenter","HumanFood","TotalTimeInView","LocationOfFocal","DistanceToHumanFoodSource","NumberHumanFood","Population","FocalID","Notes","CaloriesPer100g","Phi","Lambda"
"1","2018-11-28","Pico","13:32:45","eat","fry","fry","Yes",671,"33.418678, -111.929119",107.77,"5","AZ",1,"",133,NA,NA
"2","2018-11-28","Pico","13:33:34","eat","fry","fry","Yes",671,"33.418678, -111.929119",107.77,"5","AZ",1,"",133,NA,NA
"3","2018-12-27","Birria","8:40:09","eat","lizard","lizard","No",663,"33.418431, -111.930344",130.23,"N/A","AZ",2,"",119,NA,NA
"4","2019-01-16","Taquito","11:11:11","gape","unknown","unknown","unknown",646,"33.421511, -111.930367",74.78,"7","AZ",3,"",NA,0.0103,4.38858
"5","2019-02-04","Chalupa","7:39:47","eat","grains","ramen noodles","Yes",629,"33.422, -111.937",56.74,"16","AZ",4,"ramen noodles",319,0.06313,3.50323
"6","2019-02-04","Chalupa","7:41:09","eat","insect","bug","No",629,"33.422, -111.937",56.74,"16","AZ",4,"bug",276,0.06313,3.50323
"7","2019-02-04","Fajita","8:13:25","eat","unknown","unknown","unknown",574,"33.422389, -111.931164",79.83,"N/A","AZ",5,"",NA,NA,NA
"8","2019-03-07","Aquaman","8:48:59","gape","unknown","unknown","unknown",672,"33.418989, -111.926900",154.56,"5","AZ",6,"",NA,NA,NA
"9","2019-03-07","Aquaman","8:52:32","gape","unknown","unknown","unknown",672,"33.418989, -111.926900",154.56,"5","AZ",6,"",NA,NA,NA
"10","2019-03-07","Aquaman","8:54:09","lift or nudge","rock","rock","No",672,"33.418989, -111.926900",154.56,"5","AZ",6,"",0,NA,NA
"11","2019-03-07","Aquaman","8:55:46","stalk catch","unknown","unknown","unknown",672,"33.418989, -111.926900",154.56,"5","AZ",6,"",NA,NA,NA
"12","2019-03-07","Aquaman","8:58:03","flip","rock","rock","No",672,"33.418989, -111.926900",154.56,"5","AZ",6,"",0,NA,NA
"13","2019-04-08","Queso","8:16:31","lift or nudge","rock","pebble","No",900,"33.423261, -111.924375",71.52,"4","AZ",7,"pebble",0,0.02706,3.50568
"14","2019-04-08","Queso","8:21:52","stalk catch","unknown","unknown","unknown",900,"33.423261, -111.924375",71.52,"4","AZ",7,"",NA,0.02706,3.50568
"15","2019-04-08","Queso","8:22:03","eat","insect","bug","No",900,"33.423261, -111.924375",71.52,"4","AZ",7,"bug",276,0.02706,3.50568
"16","2019-04-08","Queso","8:23:16","stalk catch","unknown","unknown","unknown",900,"33.423261, -111.924375",71.52,"4","AZ",7,"",NA,0.02706,3.50568
"17","2019-04-08","Queso","8:23:34","eat","insect","grasshopper","No",900,"33.423261, -111.924375",71.52,"4","AZ",7,"grasshopper",276,0.02706,3.50568
"18","2019-04-08","Queso","8:25:29","eat","insect","bug","No",900,"33.423261, -111.924375",71.52,"4","AZ",7,"bug",276,0.02706,3.50568
"19","2019-04-10","Guapo","8:31:55","eat","insect","bug","No",900,"33.4222137, -111.9200966",408.47,"N/A","AZ",8,"Follow notes indicate Prim8 crashed multiple times - at least 900 seconds recorded; bug eaten",276,NA,NA
"20","2019-04-10","Mixiote","9:34:08","eat","grains","pizza","Yes",602,"33.4174842, -111.9302781",77.39,"6","AZ",9,"pizza",319,NA,NA
"21","2019-05-13","Crema","9:22:23","eat","insect","bug","No",593,"33.416, -111.9337",254.49,"10","AZ",10,"bug",276,NA,NA
"22","2019-05-13","Crema","9:24:54","food share","insect","bug","No",593,"33.416, -111.9337",254.49,"10","AZ",10,"""bug"" qualifier noted in google photos",276,NA,NA
"23","2019-05-13","Crema","9:38:32","food share","insect","bug","No",593,"33.416, -111.9337",254.49,"10","AZ",10,"""bug"" qualifier noted in google photos",276,NA,NA
"24","2019-05-20","Habanero","12:53:36","eat","insect","bug","No",497,"33.4233, -111.9003",2247.94,"24","AZ",11,"bug",276,0.05851,4.78359
"25","2019-05-22","Aquaman","8:32:11","eat","insect","bug","No",1979,"33.4193, -111.9258",113.35,"5","AZ",12,"bug",276,NA,NA
"26","2019-05-22","Aquaman","8:38:50","gape","unknown","unknown","unknown",1979,"33.4193, -111.9258",113.35,"5","AZ",12,"",NA,NA,NA
"27","2019-06-04","Crema","7:53:03","stalk catch","unknown","unknown","unknown",923,"33.4212, -111.9291",115.74,"10","AZ",13,"",NA,NA,NA
"28","2019-06-05","Chile","8:32:11","gape","unknown","unknown","unknown",739,"33.4203, -111.9296",78.79,"7","AZ",14,"",NA,NA,NA
"29","2019-06-05","Chile","8:35:48","stalk catch","unknown","unknown","unknown",739,"33.4203, -111.9296",78.79,"7","AZ",14,"",NA,NA,NA
"30","2019-06-05","Chile","8:35:55","eat","insect","bug","No",739,"33.4203, -111.9296",78.79,"7","AZ",14,"bug",276,NA,NA
"31","2019-06-05","Chile","8:39:34","food share","unknown","unknown","unknown",739,"33.4203, -111.9296",78.79,"7","AZ",14,"",NA,NA,NA
"32","2019-07-10","Memela","6:53:29","eat","insect","bug","No",783,"33.4160, -111.9319",181.44,"21","AZ",15,"bug",276,NA,NA
"33","2019-07-10","Memela","6:53:51","eat","insect","moth","No",783,"33.4160, -111.9319",181.44,"21","AZ",15,"moth",276,NA,NA
"34","2019-07-10","Memela","7:02:56","eat","insect","bug","No",783,"33.4160, -111.9319",181.44,"21","AZ",15,"bug",276,NA,NA
"35","2019-07-10","Memela","7:03:59","eat","insect","bug","No",783,"33.4160, -111.9319",181.44,"21","AZ",15,"bug",276,NA,NA
"36","2019-07-10","Memela","7:04:55","eat","insect","bug","No",783,"33.4160, -111.9319",181.44,"21","AZ",15,"bug",276,NA,NA
"37","2019-07-10","Memela","7:05:31","break into pieces","insect","bug","No",783,"33.4160, -111.9319",181.44,"21","AZ",15,"bug",276,NA,NA
"38","2019-07-11","Tostada","6:53:02","food share","unknown","unknown","unknown",672,"33.4213, -111.9292",111.74,"1","AZ",16,"",NA,NA,NA
"39","2019-07-11","Tostada","6:54:29","food share","unknown","unknown","unknown",672,"33.4213, -111.9292",111.74,"1","AZ",16,"",NA,NA,NA
"40","2019-07-11","Tostada","7:02:39","food share","grains","bread","Yes",672,"33.4213, -111.9292",111.74,"1","AZ",16,"bread",319,NA,NA
"41","2019-07-11","Tostada","7:03:31","food share","grains","bread","Yes",672,"33.4213, -111.9292",111.74,"1","AZ",16,"bread",319,NA,NA
"42","2019-07-11","Tostada","7:04:44","food share","grains","bread","Yes",672,"33.4213, -111.9292",111.74,"1","AZ",16,"bread",319,NA,NA
"43","2019-07-15","Chalupa","7:30:07","eat","insect","bug","No",653,"33.4157, -111.9347",276.94,"16","AZ",17,"bug",276,0.06313,3.50323
"44","2019-07-15","Chalupa","7:30:38","eat","insect","ant","No",653,"33.4157, -111.9347",276.94,"16","AZ",17,"ant",276,0.06313,3.50323
"45","2019-07-15","Chalupa","7:31:34","eat","insect","bug","No",653,"33.4157, -111.9347",276.94,"16","AZ",17,"bug",276,0.06313,3.50323
"46","2019-07-15","Chalupa","7:31:57","eat","insect","bug","No",653,"33.4157, -111.9347",276.94,"16","AZ",17,"bug",276,0.06313,3.50323
"47","2019-07-15","Chalupa","7:35:19","eat","insect","bug","No",653,"33.4157, -111.9347",276.94,"16","AZ",17,"bug",276,0.06313,3.50323
"48","2019-07-15","Chalupa","7:36:47","stalk catch","insect","bug","No",653,"33.4157, -111.9347",276.94,"16","AZ",17,"bug",276,0.06313,3.50323
"49","2019-07-15","Chalupa","7:37:34","stalk catch","insect","bug","No",653,"33.4157, -111.9347",276.94,"16","AZ",17,"bug",276,0.06313,3.50323
"50","2019-07-15","Palomita","8:43:59","stalk catch","insect","bug","No",542,"33.4200, -111.9299",76.13,"N/A","AZ",18,"bug",276,NA,NA
"51","2019-07-15","Palomita","8:44:04","eat","insect","bug","No",542,"33.4200, -111.9299",76.13,"N/A","AZ",18,"bug",276,NA,NA
"52","2019-07-15","Palomita","8:45:18","stalk catch","insect","bug","No",542,"33.4200, -111.9299",76.13,"N/A","AZ",18,"bug",276,NA,NA
"53","2019-07-15","Palomita","8:45:48","eat","insect","bug","No",542,"33.4200, -111.9299",76.13,"N/A","AZ",18,"bug",276,NA,NA
"54","2019-07-15","Palomita","8:47:58","eat","insect","bug","No",542,"33.4200, -111.9299",76.13,"N/A","AZ",18,"bug",276,NA,NA
"55","2019-07-15","Tapa","8:06:31","eat","insect","bug","No",808,"33.4173, -111.9308",124.84,"7","AZ",18,"bug",276,0.01717,4.45838
"56","2019-07-15","Tapa","8:06:46","eat","insect","bug","No",808,"33.4173, -111.9308",124.84,"7","AZ",18,"bug",276,0.01717,4.45838
"57","2019-07-15","Tapa","8:08:18","eat","insect","bug","No",808,"33.4173, -111.9308",124.84,"7","AZ",18,"bug",276,0.01717,4.45838
"58","2019-07-15","Tapa","8:12:32","stalk catch","insect","bug","No",808,"33.4173, -111.9308",124.84,"7","AZ",19,"bug",276,0.01717,4.45838
"59","2019-07-15","Tapa","8:14:56","eat","insect","bug","No",808,"33.4173, -111.9308",124.84,"7","AZ",19,"bug",276,0.01717,4.45838
"60","2019-07-15","Tapa","8:17:08","eat","insect","bug","No",808,"33.4173, -111.9308",124.84,"7","AZ",19,"bug",276,0.01717,4.45838
"61","2019-07-15","Tapa","8:19:13","eat","insect","bug","No",808,"33.4173, -111.9308",124.84,"7","AZ",19,"bug",276,0.01717,4.45838
"62","2019-07-15","Tapa","8:19:23","stalk catch","insect","bug","No",808,"33.4173, -111.9308",124.84,"7","AZ",19,"bug",276,0.01717,4.45838
"63","2019-07-16","Queso","7:53:56","break into pieces","insect","beetle","No",900,"33.4237, -111.9240",69.22,"4","AZ",20,"beetle",276,0.02706,3.50568
"64","2019-07-16","Queso","7:57:18","eat","insect","beetle","No",900,"33.4237, -111.9240",69.22,"4","AZ",20,"beetle leg",276,0.02706,3.50568
"65","2019-07-16","Queso","8:00:10","break into pieces","insect","beetle","No",900,"33.4237, -111.9240",69.22,"4","AZ",20,"beetle",276,0.02706,3.50568
"66","2019-07-16","Queso","8:02:17","eat","insect","beetle","No",900,"33.4237, -111.9240",69.22,"4","AZ",20,"beetle wing",276,0.02706,3.50568
"67","2019-07-16","Queso","8:03:47","eat","insect","beetle","No",900,"33.4237, -111.9240",69.22,"4","AZ",20,"beetle head",276,0.02706,3.50568
"68","2019-07-22","Aquaman","8:08:52","eat","cat food","cat food","Yes",1979,"33.4193, -111.9258",113.35,"5","AZ",21,"",436,NA,NA
"69","2019-07-22","Aquaman","8:17:06","eat","worm","worm","No",1979,"33.4193, -111.9258",113.35,"5","AZ",21,"",97,NA,NA
"70","2019-07-22","Aquaman","8:30:48","stalk catch","insect","bug","No",1979,"33.4193, -111.9258",113.35,"5","AZ",21,"bug",276,NA,NA
"71","2019-07-22","Chimichanga","7:07:34","eat","insect","bug","No",324,"33.4185, -111.9359",34.26,"23","AZ",21,"bug",276,NA,NA
"72","2019-07-22","Chimichanga","7:22:24","food share","unknown","unknown","unknown",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",NA,NA,NA
"73","2019-07-22","Chimichanga","7:24:15","break into pieces","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"74","2019-07-22","Chimichanga","7:24:23","eat","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"75","2019-07-22","Chimichanga","7:24:43","food share","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"76","2019-07-22","Chimichanga","7:25:53","eat","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"77","2019-07-22","Chimichanga","7:26:53","dunk in water","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"78","2019-07-22","Chimichanga","7:26:58","food share","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"79","2019-07-22","Chimichanga","7:28:57","dunk in water","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"80","2019-07-22","Chimichanga","7:29:05","eat","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"81","2019-07-22","Chimichanga","7:29:10","dunk in water","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"82","2019-07-22","Chimichanga","7:29:14","dunk in water","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"83","2019-07-22","Chimichanga","7:29:22","break into pieces","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"84","2019-07-22","Chimichanga","7:30:03","eat","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"85","2019-07-22","Chimichanga","7:30:30","food share","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"86","2019-07-22","Chimichanga","7:32:26","dunk in water","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"87","2019-07-22","Chimichanga","7:33:17","food share","cat food","cat food","Yes",324,"33.4185, -111.9359",34.26,"23","AZ",21,"",436,NA,NA
"88","2019-07-22","Chimichanga","7:34:14","dunk in water","insect","cockroach","No",324,"33.4185, -111.9359",34.26,"23","AZ",21,"cockroach",276,NA,NA
"89","2019-07-22","Chimichanga","7:34:21","break into pieces","insect","cockroach","No",324,"33.4185, -111.9359",34.26,"23","AZ",22,"cockroach",276,NA,NA
"90","2019-07-22","Chimichanga","7:35:02","eat","insect","cockroach","No",324,"33.4185, -111.9359",34.26,"23","AZ",22,"cockroach",276,NA,NA
"91","2019-07-22","Chimichanga","7:35:14","food share","insect","cockroach","No",324,"33.4185, -111.9359",34.26,"23","AZ",22,"cockroach",276,NA,NA
"92","2019-07-24","Becky","5:55:46","break into pieces","insect","bug","No",371,"33.4226, -111.9311",58.03,"2","AZ",23,"bug",276,NA,NA
"93","2019-07-24","Becky","5:56:28","eat","insect","bug","No",371,"33.4226, -111.9311",58.03,"2","AZ",23,"bug",276,NA,NA
"94","2019-07-24","Becky","5:56:58","break into pieces","insect","bug","No",371,"33.4226, -111.9311",58.03,"2","AZ",23,"bug",276,NA,NA
"95","2019-07-24","Becky","5:57:21","eat","insect","bug","No",371,"33.4226, -111.9311",58.03,"2","AZ",23,"bug",276,NA,NA
"96","2019-07-24","Becky","5:57:38","eat","insect","bug","No",371,"33.4226, -111.9311",58.03,"2","AZ",23,"bug",276,NA,NA
"97","2019-07-24","Becky","5:57:55","break into pieces","insect","bug","No",371,"33.4226, -111.9311",58.03,"2","AZ",23,"bug",276,NA,NA
"98","2019-07-24","Becky","5:57:58","eat","insect","bug","No",371,"33.4226, -111.9311",58.03,"2","AZ",23,"bug",276,NA,NA
"99","2019-07-24","Becky","5:58:24","eat","insect","bug","No",371,"33.4226, -111.9311",58.03,"2","AZ",23,"bug",276,NA,NA
"100","2019-07-24","Quesadilla","7:16:36","stalk catch","insect","bug","No",992,"33.4241, -111.9304",14.11,"3","AZ",24,"bug",276,NA,NA
"101","2019-07-24","Tortilla","6:20:25","food share","unknown","unknown","unknown",882,"33.4260, -111.9291",229.32,"13","AZ",24,"",NA,NA,NA
"102","2019-07-24","Tortilla","6:32:43","food share","unknown","unknown","unknown",882,"33.4260, -111.9291",229.32,"13","AZ",25,"",NA,NA,NA
"103","2019-07-25","Calabazo","5:59:45","eat","grains","mexican rice","Yes",1225,"33.4094, -111.9352",724.59,"2","AZ",26,"mexican rice",319,NA,NA
"104","2019-07-25","Calabazo","5:59:59","eat","grains","mexican rice","Yes",1225,"33.4094, -111.9352",724.59,"2","AZ",26,"mexican rice",319,NA,NA
"105","2019-07-25","Calabazo","6:00:18","eat","grains","mexican rice","Yes",1225,"33.4094, -111.9352",724.59,"2","AZ",26,"mexican rice",319,NA,NA
"106","2019-07-25","Morada","7:35:08","eat","insect","bug","No",422,"33.42171944, -111.9352972",63.21,"10","AZ",27,"bug",276,NA,NA
"107","2019-07-29","Nopal","8:24:50","stalk catch","insect","grasshopper","No",900,"33.4173, -111.9311",135.57,"6","AZ",28,"grasshopper",276,NA,NA
"108","2019-07-29","Nopal","8:24:57","eat","insect","grasshopper","No",900,"33.4173, -111.9311",135.57,"6","AZ",28,"grasshopper",276,NA,NA
"109","2019-07-29","Nopal","8:25:41","stalk catch","insect","grasshopper","No",900,"33.4173, -111.9311",135.57,"6","AZ",28,"grasshopper",276,NA,NA
"110","2019-07-29","Nopal","8:33:04","stalk catch","insect","bug","No",900,"33.4173, -111.9311",135.57,"6","AZ",28,"bug",276,NA,NA
"111","2019-07-29","Nopal","8:37:26","stalk catch","insect","bug","No",900,"33.4173, -111.9311",135.57,"6","AZ",28,"bug",276,NA,NA
"112","2019-07-29","Tripa","6:25:29","eat","insect","grasshopper","No",491,"33.4160, -111.9304",58.97,"8","AZ",29,"grasshopper",276,NA,NA
"113","2019-07-29","Tripa","7:18:53","stalk catch","insect","grasshopper","No",491,"33.4160, -111.9304",58.97,"8","AZ",29,"grasshopper",276,NA,NA
"114","2019-07-29","Tripa","7:21:29","stalk catch","insect","grasshopper","No",491,"33.4160, -111.9304",58.97,"8","AZ",29,"grasshopper",276,NA,NA
"115","2019-07-29","Tripa","7:21:48","stalk catch","insect","grasshopper","No",491,"33.4160, -111.9304",58.97,"8","AZ",29,"grasshopper",276,NA,NA
"116","2019-07-29","Tripa","7:21:57","stalk catch","insect","grasshopper","No",491,"33.4160, -111.9304",58.97,"8","AZ",29,"grasshopper",276,NA,NA
"117","2019-08-01","Memela","6:19:56","eat","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"118","2019-08-01","Memela","6:20:12","break into pieces","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"119","2019-08-01","Memela","6:20:22","eat","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"120","2019-08-01","Memela","6:26:08","eat","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"121","2019-08-01","Memela","6:26:14","stalk catch","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"122","2019-08-01","Memela","6:26:32","eat","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"123","2019-08-01","Memela","6:27:43","stalk catch","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"124","2019-08-01","Memela","6:28:09","eat","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"125","2019-08-01","Memela","6:28:46","stalk catch","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"126","2019-08-01","Memela","6:30:04","stalk catch","unknown","unknown","unknown",783,"33.4180, -111.9269",87.73,"21","AZ",30,"",NA,NA,NA
"127","2019-08-01","Memela","6:32:23","stalk catch","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"128","2019-08-01","Memela","6:33:19","eat","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"129","2019-08-01","Memela","6:34:13","break into pieces","insect","grasshopper","No",783,"33.4180, -111.9269",87.73,"21","AZ",30,"grasshopper",276,NA,NA
"130","2019-08-01","Pepino","8:25:08","eat","fry","fry","Yes",1007,"33.4241, -111.9302",13.35,"5","AZ",31,"",133,NA,NA
"131","2019-08-01","Pepino","8:27:22","break into pieces","seed","fruit seed","No",1007,"33.4241, -111.9302",13.35,"5","AZ",31,"fruit seed",584,NA,NA
"132","2019-08-01","Pepino","8:33:09","eat","cat food","cat food","Yes",1007,"33.4241, -111.9302",13.35,"5","AZ",31,"",436,NA,NA
"133","2019-08-01","Pepino","8:36:20","eat","cat food","cat food","Yes",1007,"33.4241, -111.9302",13.35,"5","AZ",31,"",436,NA,NA
"134","2019-08-05","Fideo","6:03:57","eat","insect","bug","No",874,"33.4210, -111.9251",11.75,"8","AZ",32,"bug",276,0.02363,4.13445
"135","2019-08-05","Fideo","6:04:22","stalk catch","insect","bug","No",874,"33.4210, -111.9251",11.75,"8","AZ",32,"bug",276,0.02363,4.13445
"136","2019-08-05","Fideo","6:04:27","eat","insect","bug","No",874,"33.4210, -111.9251",11.75,"8","AZ",32,"bug",276,0.02363,4.13445
"137","2019-08-05","Fideo","6:08:41","eat","food crumbs","food crumbs","Yes",874,"33.4210, -111.9251",11.75,"8","AZ",32,"",319,0.02363,4.13445
"138","2019-08-05","Fideo","6:09:18","eat","insect","bug","No",874,"33.4210, -111.9251",11.75,"8","AZ",32,"bug",276,0.02363,4.13445
"139","2019-08-05","Fideo","6:13:55","eat","food crumbs","food crumbs","Yes",874,"33.4210, -111.9251",11.75,"8","AZ",32,"",319,0.02363,4.13445
"140","2019-08-05","Fideo","6:15:12","eat","food crumbs","food crumbs","Yes",874,"33.4210, -111.9251",11.75,"8","AZ",32,"",319,0.02363,4.13445
"141","2019-08-05","Mixiote","7:23:50","eat","insect","bug","No",900,"33.4163, -111.9303",84.42,"6","AZ",33,"bug",276,NA,NA
"142","2019-08-05","Mixiote","7:25:12","eat","insect","bug","No",900,"33.4163, -111.9303",84.42,"6","AZ",33,"bug",276,NA,NA
"143","2019-08-05","Mixiote","7:26:16","eat","insect","bug","No",900,"33.4163, -111.9303",84.42,"6","AZ",33,"bug",276,NA,NA
"144","2019-08-05","Mixiote","7:27:31","stalk catch","insect","grasshopper","No",900,"33.4163, -111.9303",84.42,"6","AZ",33,"grasshopper",276,NA,NA
"145","2019-08-05","Mixiote","7:28:17","eat","insect","bug","No",900,"33.4163, -111.9303",84.42,"6","AZ",33,"bug",276,NA,NA
"146","2019-08-05","Mixiote","7:29:18","eat","insect","bug","No",900,"33.4163, -111.9303",84.42,"6","AZ",33,"bug",276,NA,NA
"147","2019-08-05","Taquito","6:44:49","eat","unknown","unknown","unknown",900,"33.4217, -111.9303",168.78,"7","AZ",180,"",NA,0.0103,4.38858
"148","2019-08-12","Chile","9:13:24","eat","unknown","unknown","unknown",875,"33.4213, -111.9305",55.96,"7","AZ",34,"",NA,NA,NA
"149","2019-08-12","Sincronizada","7:00:26","eat","insect","grasshopper","No",809,"33.4251, -111.9309",115.5,"3","AZ",35,"grasshopper",276,NA,NA
"150","2019-08-12","Sincronizada","7:00:48","eat","insect","bug","No",809,"33.4251, -111.9309",115.5,"3","AZ",35,"bug",276,NA,NA
"151","2019-08-12","Sincronizada","7:00:53","eat","insect","bug","No",809,"33.4251, -111.9309",115.5,"3","AZ",35,"bug",276,NA,NA
"152","2019-08-12","Sincronizada","7:10:43","stalk catch","insect","grasshopper","No",809,"33.4251, -111.9309",115.5,"3","AZ",35,"grasshopper",276,NA,NA
"153","2019-08-12","Sincronizada","7:12:39","eat","food crumbs","Food crumbs","Yes",809,"33.4251, -111.9309",115.5,"3","AZ",35,"Food crumbs",319,NA,NA
"154","2019-08-12","Sincronizada","7:12:55","eat","food crumbs","Food crumbs","Yes",809,"33.4251, -111.9309",115.5,"3","AZ",35,"Food crumbs",319,NA,NA
"155","2019-08-14","Tripa","7:04:18","eat","vegetation","leaf","No",540,"33.4159, -111.9304",50.6,"8","AZ",37,"leaf",15,NA,NA
"156","2019-08-19","Morada","9:27:12","eat","unknown","unknown","unknown",797,"33.4214, -111.9358",39.12,"10","AZ",38,"",NA,NA,NA
"157","2019-08-19","Morada","9:27:20","eat","food crumbs","Food crumbs","Yes",797,"33.4214, -111.9358",39.12,"10","AZ",38,"Food crumbs",319,NA,NA
"158","2019-08-19","Morada","9:31:38","eat","fruit","tomato","Yes",797,"33.4214, -111.9358",39.12,"10","AZ",38,"tomato",52,NA,NA
"159","2019-08-19","Morada","9:32:44","eat","food crumbs","Food crumbs","Yes",797,"33.4214, -111.9358",39.12,"10","AZ",38,"Food crumbs",319,NA,NA
"160","2019-08-19","Morada","9:32:53","eat","fruit","tomato","Yes",797,"33.4214, -111.9358",39.12,"10","AZ",38,"tomato",52,NA,NA
"161","2019-08-19","Morada","9:33:09","break into pieces","fruit","tomato","Yes",797,"33.4214, -111.9358",39.12,"10","AZ",38,"tomato",52,NA,NA
"162","2019-08-19","Morada","9:33:29","eat","fruit","tomato","Yes",797,"33.4214, -111.9358",39.12,"10","AZ",38,"tomato",52,NA,NA
"163","2019-08-19","Morada","9:34:36","eat","insect","bug","No",797,"33.4214, -111.9358",39.12,"10","AZ",38,"bug",276,NA,NA
"164","2019-08-19","Morada","9:35:39","eat","unknown","unknown","Yes",797,"33.4214, -111.9358",39.12,"10","AZ",38,"Raisin or beef jerky",NA,NA,NA
"165","2019-08-21","Quesadilla","8:52:01","stalk catch","insect","bug","No",784,"33.4229, -111.9308",18.19,"3","AZ",39,"bug",276,NA,NA
"166","2019-08-21","Quesadilla","8:57:11","eat","seed","seed","unknown",784,"33.4229, -111.9308",18.19,"3","AZ",39,"Unclear whether seed human provided, originally ""no""",584,NA,NA
"167","2019-08-21","Quesadilla","9:04:23","eat","unknown","unknown","unknown",784,"33.4229, -111.9308",18.19,"3","AZ",39,"",NA,NA,NA
"168","2019-08-26","Naranja","7:55:42","eat","insect","bug","No",811,"33.4250, -111.9303",89.73,"8","AZ",40,"bug",276,NA,NA
"169","2019-08-26","Pepino","7:30:58","stalk catch","insect","fly","No",844,"33.4240, -111.9303",21.19,"5","AZ",41,"fly",276,NA,NA
"170","2019-08-26","Pepino","7:41:30","eat","cat food","cat food","Yes",844,"33.4240, -111.9303",21.19,"5","AZ",41,"",436,NA,NA
"171","2019-09-12","Chile","7:24:20","eat","unknown","unknown","unknown",842,"33.4204, -111.9299",59.06,"7","AZ",42,"",NA,NA,NA
"172","2019-09-12","Chile","7:25:26","stalk catch","unknown","unknown","unknown",842,"33.4204, -111.9299",59.06,"7","AZ",42,"",NA,NA,NA
"173","2019-09-12","Chile","7:26:22","stalk catch","unknown","unknown","unknown",842,"33.4204, -111.9299",59.06,"7","AZ",42,"",NA,NA,NA
"174","2019-09-12","Chile","7:27:14","eat","insect","bug","No",842,"33.4204, -111.9299",59.06,"7","AZ",42,"bug",276,NA,NA
"175","2019-09-12","Chile","7:31:15","eat","insect","bug","No",842,"33.4204, -111.9299",59.06,"7","AZ",42,"bug",276,NA,NA
"176","2019-09-12","Chile","7:31:38","eat","insect","bug","No",842,"33.4204, -111.9299",59.06,"7","AZ",42,"bug",276,NA,NA
"177","2019-09-12","Chile","7:31:41","eat","insect","bug","No",842,"33.4204, -111.9299",59.06,"7","AZ",42,"bug",276,NA,NA
"178","2019-09-12","Chile","7:31:56","eat","insect","bug","No",842,"33.4204, -111.9299",59.06,"7","AZ",42,"bug",276,NA,NA
"179","2019-09-12","Chile","7:32:11","eat","insect","bug","No",842,"33.4204, -111.9299",59.06,"7","AZ",42,"bug",276,NA,NA
"180","2019-09-12","Chile","7:32:21","eat","insect","bug","No",842,"33.4204, -111.9299",59.06,"7","AZ",42,"bug",276,NA,NA
"181","2019-09-12","Tripa","6:28:38","eat","unknown","unknown","unknown",874,"33.4159, -111.9289",17.16,"8","AZ",43,"",NA,NA,NA
"182","2019-09-12","Tripa","6:31:08","eat","bird poop","bird poop","No",874,"33.4159, -111.9289",17.16,"8","AZ",43,"",491,NA,NA
