dataSheet,pointID,site,firstDetection,distance,sex,age,visualDetect,auralDetect,originalLoc
33,N61,AZ,2,81.5,F,X,1,0,X
33,N61,AZ,3,13.1,F,A,1,0,X
33,N61,AZ,4,38.3,M,A,1,0,X
33,N61,AZ,4,38.3,F,A,1,0,X
33,N61,AZ,4,38.2,F,A,1,0,X
24,N62,AZ,-,-,-,-,-,-,-
218,N63,AZ,1,12.7,M,A,1,0,-
218,N63,AZ,1,12.7,M,A,1,0,-
218,N63,AZ,3,30.2,M,A,1,0,-
218,N63,AZ,3,30.4,F,A,1,0,-
314,N65,AZ,0,45,M,A,1,0,-
314,N65,AZ,0,45,M,A,1,0,-
314,N65,AZ,0,19,F,A,1,0,-
314,N65,AZ,5,32.1,F,A,1,0,-
314,N65,AZ,5,35.6,F,A,1,0,-
315,N66,AZ,0,143.7,M,A,1,0,-
315,N66,AZ,0,14,F,A,1,0,-
315,N66,AZ,1,237.4,F,X,1,0,-
315,N66,AZ,1,105.9,F,X,1,0,-
315,N66,AZ,1,105.9,F,X,1,0,-
315,N66,AZ,1,105.9,F,X,1,0,-
315,N66,AZ,3,179.1,F,X,1,0,-
315,N66,AZ,3,179.1,F,X,1,0,-
315,N66,AZ,3,179.1,F,X,1,0,-
315,N66,AZ,5,243,M,X,1,0,-
315,N66,AZ,1,105.9,F,X,1,0,X
315,N66,AZ,2,31.3,F,X,1,0,X
315,N66,AZ,2,31.3,F,X,1,0,X
315,N66,AZ,2,31.3,M,X,1,0,X
315,N66,AZ,3,179.1,M,X,1,0,X
316,N67,AZ,0,17.2,M,A,1,0,-
316,N67,AZ,0,4.5,F,A,1,0,-
316,N67,AZ,0,17.2,M,A,1,0,-
316,N67,AZ,0,4.5,F,A,1,0,-
316,N67,AZ,0,4.5,F,A,1,0,-
316,N67,AZ,0,4.5,F,A,1,0,-
316,N67,AZ,0,4.5,F,A,1,0,-
316,N67,AZ,0,4.5,F,A,1,0,-
316,N67,AZ,0,4.5,M,A,1,0,-
316,N67,AZ,0,12.6,F,A,1,0,-
316,N67,AZ,0,31.4,M,A,1,0,-
316,N67,AZ,0,31.4,M,A,1,0,-
316,N67,AZ,0,31.4,M,A,1,0,-
316,N67,AZ,0,31.4,M,A,1,0,-
316,N67,AZ,0,31.4,M,A,1,0,-
316,N67,AZ,0,31.4,M,A,1,0,-
316,N67,AZ,0,31.4,M,A,1,0,-
316,N67,AZ,0,31.4,F,A,1,0,-
316,N67,AZ,0,31.4,F,A,1,0,-
316,N67,AZ,0,31.4,F,A,1,0,-
316,N67,AZ,0,31.4,F,A,1,0,-
316,N67,AZ,0,31.4,F,A,1,0,-
316,N67,AZ,0,31.4,F,A,1,0,-
316,N67,AZ,0,57.7,M,A,1,0,-
316,N67,AZ,0,57.7,M,A,1,0,-
316,N67,AZ,0,57.7,M,A,1,0,-
316,N67,AZ,0,57.7,M,A,1,0,-
316,N67,AZ,0,57.7,M,A,1,0,-
316,N67,AZ,0,57.7,F,A,1,0,-
316,N67,AZ,0,57.7,F,A,1,0,-
316,N67,AZ,0,57.7,F,A,1,0,-
316,N67,AZ,0,57.7,F,A,1,0,-
316,N67,AZ,0,57.7,F,A,1,0,-
316,N67,AZ,0,57.7,F,A,1,0,-
316,N67,AZ,0,57.7,F,A,1,0,-
316,N67,AZ,0,17.6,F,A,1,0,-
316,N67,AZ,0,17.6,F,A,1,0,-
316,N67,AZ,4,68.6,M,A,1,0,-
316,N67,AZ,5,16.2,M,A,1,0,-
316,N67,AZ,5,16.2,M,A,1,0,-
316,N67,AZ,5,16.2,M,A,1,0,-
316,N67,AZ,5,16.2,F,A,1,0,-
319,N69,AZ,-,-,-,-,-,-,-
202,N7,AZ,1,MISSING,X,X,0,1,-
202,N7,AZ,2,15.6,F,A,1,0,-
202,N7,AZ,2,15.6,F,A,1,0,-
202,N7,AZ,2,15.6,F,A,1,0,-
202,N7,AZ,4,20.1,M,A,1,0,-
202,N7,AZ,4,20.1,M,A,1,0,-
202,N7,AZ,4,20.1,F,A,1,0,X
63,N71,AZ,2,61.8,F,X,1,0,X
63,N71,AZ,2,61.8,F,X,1,0,X
63,N71,AZ,2,61.8,F,X,1,0,X
63,N71,AZ,2,61.8,F,X,1,0,X
63,N71,AZ,2,61.8,X,X,1,0,X
63,N71,AZ,2,61.8,X,X,1,0,X
63,N71,AZ,2,61.8,X,X,1,0,X
63,N71,AZ,2,61.8,X,X,1,0,X
63,N71,AZ,2,61.8,X,X,1,0,X
63,N71,AZ,2,61.8,X,X,1,0,X
64,N72,AZ,-,-,-,-,-,-,-
32,N76,AZ,3,146.5,X,X,0,1,-
32,N76,AZ,3,59.2,F,X,1,0,-
25,N77,AZ,1,39.7,F,A,1,0,X
25,N77,AZ,3,18.9,F,A,1,0,X
25,N77,AZ,3,34.4,F,X,1,0,X
25,N77,AZ,3,34.4,F,X,1,0,X
25,N77,AZ,3,34.4,F,X,1,0,X
25,N77,AZ,3,34.4,F,X,1,0,X
25,N77,AZ,3,34.4,F,X,1,0,X
25,N77,AZ,3,34.4,F,X,1,0,X
25,N77,AZ,3,34.4,F,X,1,0,X
25,N77,AZ,3,34.4,F,X,1,0,X
25,N77,AZ,4,34.4,F,X,1,0,X
25,N77,AZ,4,18.9,M,X,1,0,X
25,N77,AZ,5,43,M,A,1,0,X
25,N77,AZ,3,72.3,X,X,0,1,-
25,N77,AZ,3,41.8,X,X,0,1,-
210,N79,AZ,-,-,-,-,-,-,-
201,N8,AZ,1,44.6,M,A,1,0,-
201,N8,AZ,4,40.2,M,A,1,0,-
201,N8,AZ,4,40.2,F,A,1,0,-
318,N82,AZ,0,7.1,F,A,1,0,-
318,N82,AZ,4,159.5,X,X,0,1,-
318,N82,AZ,0,7.1,F,A,1,0,-
318,N82,AZ,0,7.1,F,A,1,0,-
318,N82,AZ,0,7.1,F,A,1,0,-
318,N82,AZ,0,7.1,F,A,1,0,-
318,N82,AZ,0,7.1,F,A,1,0,-
318,N82,AZ,0,7.1,M,A,1,0,-
318,N82,AZ,1,78.7,M,X,1,0,-
318,N82,AZ,1,78.7,F,X,1,0,-
318,N82,AZ,3,118.5,F,X,1,0,-
318,N82,AZ,3,118.5,F,X,1,0,-
318,N82,AZ,3,118.5,F,X,1,0,-
321,N83,AZ,-,-,-,-,-,-,-
317,N84,AZ,0,56.6,M,A,1,0,-
317,N84,AZ,0,21.5,X,X,0,1,-
317,N84,AZ,0,56.6,M,A,1,0,-
317,N84,AZ,1,63,M,A,1,0,-
317,N84,AZ,1,63,F,A,1,0,-
317,N84,AZ,1,63,F,A,1,0,-
317,N84,AZ,4,55.2,F,X,1,0,X
317,N84,AZ,4,55.2,F,X,1,0,X
317,N84,AZ,5,55.2,M,A,1,0,X
317,N84,AZ,5,156.9,M,A,1,0,X
317,N84,AZ,5,156.9,M,A,1,0,X
317,N84,AZ,5,42.2,F,A,1,0,X
61,N85,AZ,-,-,-,-,-,-,-
65,N87,AZ,-,-,-,-,-,-,-
133,N88,AZ,-,-,-,-,-,-,-
134,N89,AZ,0,158.2,X,X,0,1,-
200,N9,AZ,3,MISSING,X,X,0,1,-
200,N9,AZ,4,23.4,F,A,1,0,-
216,N93,AZ,1,11.2,M,A,1,0,-
216,N93,AZ,3,22.5,F,A,1,0,X
216,N93,AZ,3,22.5,F,A,1,0,X
216,N93,AZ,3,22.5,F,A,1,0,X
216,N93,AZ,3,22.5,M,A,1,0,X
216,N93,AZ,4,37.7,M,A,1,0,X
211,N94,AZ,1,12.2,F,A,1,0,-
211,N94,AZ,1,12.2,F,A,1,0,-
211,N94,AZ,1,12.2,F,A,1,0,-
211,N94,AZ,1,12.2,F,A,1,0,-
211,N94,AZ,3,23.1,M,A,1,0,-
