CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Name,Test,Condition,Item,Time,Session,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
3/15/21,KM,"A018BB, A031-Y, A047AY 2019-12-11 Boldness Time1 C2 T1-T3",12/11/19,KM,A031-Y,Queso,Boldness,2,C2,1,2,900,n/a,n/a,n/a,n/a,240,660,Far,900,n/a,n/a,n/a,"6m away; Despite file name, it appears I did not do a Trial 1"
3/15/21,KM,"A018BB, A031-Y, A047AY 2019-12-11 Boldness Time1 C2 T1-T3",12/11/19,KM,A047AY,Aquaman,Boldness,2,C2,1,3,900,n/a,n/a,n/a,n/a,120,780,Far,900,n/a,n/a,n/a,4m away
3/15/21,KM,"A018BB, A031-Y, A047AY 2019-12-11 Boldness Time1 C2 T1-T3",12/11/19,KM,A018BB,Tortilla,Boldness,3,C2,1,1,900,n/a,n/a,n/a,n/a,n/a,n/a,n/a,300,n/a,n/a,n/a,Not around for Trial 3
3/15/21,KM,"A018BB, A031-Y, A047AY 2019-12-11 Boldness Time1 C2 T1-T3",12/11/19,KM,A031-Y,Queso,Boldness,3,C2,1,2,210,n/a,n/a,n/a,n/a,n/a,n/a,n/a,300,n/a,n/a,n/a,Not around for Trial 3
3/15/21,KM,"A018BB, A031-Y, A047AY 2019-12-11 Boldness Time1 C2 T1-T3",12/11/19,KM,A047AY,Aquaman,Boldness,3,C2,1,3,900,n/a,n/a,n/a,n/a,300,0,n/a,300,n/a,n/a,n/a,0.3m away
3/15/21,KM,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,1/29/19,KM,A021-K,Pico,Boldness,1,C1,1,1,510,n/a,n/a,n/a,5,135,700,n/a,840,n/a,n/a,n/a,scrounged other grackle's food
3/15/21,KM,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,1/29/19,KM,A026PP,Jamaica,Boldness,1,C1,1,1,210,n/a,n/a,n/a,n/a,40,800,n/a,840,n/a,n/a,n/a,Did not take cracker
3/15/21,KM,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,1/29/19,KM,A023OY,Chimichanga,Boldness,1,C1,1,1,330,n/a,n/a,n/a,3,6,831,n/a,840,n/a,n/a,n/a,
3/15/21,KM,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,1/29/19,KM,A021-K,Pico,Boldness,2,C1,1,1,900,n/a,n/a,n/a,n/a,60,n/a,Far,1200,n/a,n/a,n/a,"30m away, in view for 1min"
3/15/21,KM,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,1/29/19,KM,A026PP,Jamaica,Boldness,2,C1,1,1,900,n/a,n/a,n/a,n/a,60,n/a,Far,1200,n/a,n/a,n/a,"30m away, in view for 1min"
