Name,BirdID,Condition,Test,SumTouches,TotTime,TotalMot,UniqueMot,Notes,
Marisco,A075Y,CON,Object,0,5435.2,0,0,,
Marisco,A075Y,CON,Boldness,0,3693.2,0,,Pecked pigeon,
Marisco,A075Y,CON,MABlogFun,40,3607,16,,,
Marisco,A075Y,CON,MABlogNFun,51,3607,16,,,
Marisco,A075Y,CON,MABplasFun,12,4810,3,,,
Marisco,A075Y,CON,MABplasNFun,3,4810,3,,,
Mofongo,A090SB,CON,Environment,1,5487.6,1,StandOnTop,,
Mofongo,A090SB,CON,Object,0,5573,0,0,,
Mofongo,A090SB,CON,Boldness,0,3734.2,0,0,,
Mofongo,A090SB,CON,MABlogFun,51,4038,15,,,
Mofongo,A090SB,CON,MABlogNFun,51,4038,15,,,
Mofongo,A090SB,CON,MABplasFun,51,15383,13,,,
Mofongo,A090SB,CON,MABplasNFun,51,15383,13,,,
Mole,A035P,Manip,Environment,51,5474.6,16,"PeckVert, PeckHorz, PeckUpDown, PeckOnTop, PushVert, PushOnTop, PullVert, PullHorz, PullOnTop, GrabVert, GrabHorz, GrabOnTop, GapeHorz, StandOnTop, PushHorz, GrabUpDown",,
Mole,A035P,Manip,Object,0,5471.6,0,0,,
Mole,A035P,Manip,Boldness,51,4831.2,1,PeckOnTop,,
Mole,A035P,Manip,MABlogFun,51,6322,15,"Vertical Peck, Horizontal Peck, Vertical Gape, Vertical Grab, Vertical Push, Horizontal Push, Stand On Top, Horizontal Gape, Horizontal Pull, Upside Down Gape, Horizontal Grab, Upside Down Pull, Vertical Pull, Upside Down Peck, Upside Down Grab",,
Mole,A035P,Manip,MABlogNFun,51,6322,15,"Vertical Peck, Horizontal Peck, Vertical Gape, Vertical Grab, Vertical Push, Horizontal Push, Stand On Top, Horizontal Gape, Horizontal Pull, Upside Down Gape, Horizontal Grab, Upside Down Pull, Vertical Pull, Upside Down Peck, Upside Down Grab",,
Mole,A035P,Manip,MABplasFun,51,4593,14,"GrabVert, PullVert, PeckHorz, PeckVert, GrabHorz, PeckUpDown, GrabUpDown, PullHorz, PushHorz, GapeVert, PushVert, PullUpDown, GapeUpDown, PushUpDown",,
Mole,A035P,Manip,MABplasNFun,51,4593,14,"GrabVert, PullVert, PeckHorz, PeckVert, GrabHorz, PeckUpDown, GrabUpDown, PullHorz, PushHorz, GapeVert, PushVert, PullUpDown, GapeUpDown, PushUpDown",,
Pizza,A088YR,CON,Environment,0,5435.4,0,0,,
Pizza,A088YR,CON,Object,0,5444,0,0,,
Pizza,A088YR,CON,Boldness,0,3641.2,0,0,,
Pizza,A088YR,CON,MABlogFun,15,7330,8,"GrabHorz, PeckHorz, PullHorz, StandOnTop, PeckOnTop, PeckVert, GrabVert, PullHorz",,
