"","mean","sd","X5.5.","X94.5.","rhat","ess_bulk"
"1",-1.913718765,0.252008681844073,-2.33379035,-1.5173485,1.00680553366546,3005.20053472613
"2",-3.248556,0.442316637044101,-3.99577165,-2.59940015,1.003283962408,2809.63063306507
"3",-2.16622095,0.304860499214129,-2.6706207,-1.70444755,1.00171913353836,3522.8065738988
"4",-2.142214035,0.285649628266051,-2.6142298,-1.69941835,0.999167259857954,2796.30838613588
"5",-2.07376519,0.288074836204746,-2.53885255,-1.6253626,1.00041541799638,3323.00015476949
"6",-2.655817105,0.365361505791765,-3.26178285,-2.10171975,1.00212079756693,3001.35061701583
"7",-3.42542014,0.477561419661236,-4.19437715,-2.7205026,1.00173596970336,3136.13059452709
"8",-3.205102255,0.439082311804102,-3.97083155,-2.5470346,1.00592634780482,2623.64633019989
"9",-0.0661148389819,0.18060185022909,-0.346585365,0.226718785,1.00412618406454,3369.44501926006
"10",0.18137227870125,0.278394133881078,-0.284134785,0.61836761,1.00233531043197,2800.13780138905
"11",-0.105769674967709,0.440433757777337,-0.85292029,0.56067358,1.00253061628655,2564.70551874369
"12",-0.071041074242,0.321390425796426,-0.60252872,0.41638835,1.00543146858999,2754.07910098505
"13",0.17394661123,0.300380143866205,-0.312362715,0.6412359,1.00116006756579,3779.90936347295
"14",0.341045389153,0.265383929283615,-0.0889257255,0.76518776,1.00409871667423,3201.02397441577
"15",0.3221088649495,0.349628831369149,-0.235963675,0.87258307,1.00418071942521,2580.59612417357
"16",0.076453621013,0.464911721516136,-0.70546099,0.798427535,1.00384006906209,2878.85458600391
"17",-0.5868966003305,0.481128371023266,-1.41584135,0.13025762,0.999267644896703,2339.41247850114
"18",-0.3191416205475,0.213670650666312,-0.6717022,0.011241877,0.999457103005527,3781.99095453909
