Bird,Experiment,NoMotorActionsCoder1,NoMotorActionsCoder2,Action,ActionPresentCoder1,ActionPresentCoder2,MotCoder1,MotCoder2
Habanero,MAB Plastic,,,GrabHorz,Yes,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Plastic,,,GrabUpDown,Yes,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Plastic,,,GrabOnTop,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Plastic,,,GapeVert,Yes,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Plastic,,,GapeHorz,Yes,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Plastic,,,GapeUpDown,No,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Plastic,,,GapeOnTop,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Plastic,,,StandOnTop,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,6,7,PeckVert,Yes,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PeckHorz,Yes,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PeckUpDown,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PeckOnTop,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PushVert,Yes,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PushHorz,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PushUpDown,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PushOnTop,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PullVert,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PullHorz,No,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PullUpDown,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,PullOnTop,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,GrabVert,No,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,GrabHorz,Yes,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,GrabUpDown,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,GrabOnTop,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,GapeVert,Yes,Yes,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,GapeHorz,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,GapeUpDown,Yes,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,GapeOnTop,No,No,Vincent Kiepsch,Sierra Planck
Habanero,MAB Log,,,StandOnTop,No,No,Vincent Kiepsch,Sierra Planck
