Bird,Experiment,NoMotorActionsCoder1,NoMotorActionsCoder2,Action,ActionPresentCoder1,ActionPresentCoder2,MotCoder1,MotCoder2
Mole,Exploration Object,,,GrabOnTop,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,GapeVert,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,GapeHorz,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,GapeUpDown,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,GapeOnTop,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,StandOnTop,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Boldness,0,7,PeckVert,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,PeckHorz,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,PeckUpDown,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,PeckOnTop,No,Yes,Vincent Kiepsch,Alexis Breen
