"","mean","sd","X5.5.","X94.5.","rhat","ess_bulk"
"1",-1.52920657107,0.698654904955693,-2.69854475,-0.423448855,1.00187430688701,2970.51493595637
"2",-1.512849332925,0.695991326155746,-2.64537825,-0.41585311,1.00297761220626,2937.11797685583
"3",-1.5388759704,0.671432380306732,-2.63630015,-0.518372185,1.00017662687479,2776.44300317825
"4",-1.5308428441,0.731090288693325,-2.7724658,-0.414223405,1.00005582954703,2665.88530040265
"5",-1.075268360475,0.705924866927678,-2.21720615,0.0480182995000001,1.00573791696429,2957.62535371073
"6",-1.510360674255,0.707268707593695,-2.64170715,-0.44837589,1.00189511500509,2108.13108904558
"7",-1.5408555492,0.741406360874338,-2.7664525,-0.40325078,0.999594828050152,2900.64039226831
"8",-1.52688852305,0.708538784144423,-2.7086549,-0.45858171,1.0037970590375,3182.31342267061
"9",-1.06953738196455,0.689611349386216,-2.197987,0.00887242660000051,1.00059549361589,2740.83016768646
"10",-0.0623915990435,0.742853594449966,-1.24949025,1.1076039,1.0006170663793,2718.54647823238
"11",-0.04720862715145,0.72514449497566,-1.18674085,1.10360645,1.00332324515362,3170.06306100063
"12",-0.040687063449,0.713024536221316,-1.17324555,1.10343595,1.00214516443235,2577.58384658249
"13",-0.0310923191855,0.728669205321818,-1.22058695,1.12435345,1.00128773538564,3228.0885244311
"14",-0.4042617619215,0.691637380923937,-1.4969723,0.66763872,1.00245541095645,2887.17324691255
"15",-0.0286962983693,0.695690739321104,-1.1394885,0.997060985,0.999733374102537,2923.27417191907
"16",-0.036159109081,0.725701691371547,-1.20223135,1.1029072,1.00180412711339,2596.24934216594
"17",-0.0087063096428,0.743766955657349,-1.21015225,1.1722092,1.00487754962625,2724.46323942311
"18",-0.403518012096,0.708148270925543,-1.5631864,0.745381555,1.00232831512805,2479.63159887287
