"","Bird.Name","Intercept","Latency","Duration","Sex","History","Breeding.Sites","Food.Sites","SMI","Group.Size","Season2","MeanLFV","SigmaLFV","Site"
"1","Adobo",1,-0.12505070210989,1.8682795384195,1,-0.782395633618632,1.15797868788349,1.65255571841823,-0.205667706570376,-0.505660759241969,1,0.513029457533376,1.626635732215,"AZ"
"2","Burrito",1,-0.884594842024623,1.3848186404952,1,-0.50879716051273,0.0669905026048302,0.19592155424546,0.847923094436601,-0.923380516876639,1,0.590263240021929,1.71516743618448,"AZ"
"3","Chalupa",1,-0.161728889952855,-0.703930117297557,0,0.202558869562615,-0.296672225821391,1.1670109970273,-1.91713576874331,1.16521827129671,0,0.825582696909513,1.56687661475325,"AZ"
"4","Chilaquile",1,-0.35906518183714,0.399833095904997,1,-1.05599410672453,-0.478503590034502,0.0340733137818192,-0.214722540479947,-0.505660759241969,1,0.34099727683326,1.39249987246851,"AZ"
"5","Chile",1,-0.845815299669822,-0.63082305871119,1,-2.0774284063199,0.0669905026048302,-0.289623167145462,0.779100368957133,-0.505660759241969,0,0.189333795713175,1.61875693380508,"AZ"
"6","Diablo",1,1.96235845705719,-1.14206123064382,1,-0.326398178442129,-0.296672225821391,-0.937016129000025,0.777919448296627,-0.087941001607299,1,0.0506335692008934,1.64107570035645,"AZ"
"7","Fideo",1,1.96235845705719,-1.08241677725168,1,0.421437648047337,1.88530414473594,-0.127774926681822,0.568680266477375,2.00065778656605,0,0.787655523016686,1.71965544407709,"AZ"
"8","Habanero",1,-0.688213711282081,0.464078692844531,1,1.24223306736504,2.79446096580149,2.46179692073643,0.0926927299407602,-0.923380516876639,0,1.91982468307111,1.11122362051476,"AZ"
"9","Marisco",1,0.854371532634285,-1.13984586523211,1,0.87743510322384,-1.02399768267383,-0.613319648072744,-0.2582835434358,-0.923380516876639,0,-0.232545087809377,1.78037892423711,"AZ"
"10","Mofongo",1,-0.874661166150487,0.451808976718148,1,0.640316426532058,-0.114840861608281,-0.451471407609103,0.711781238234141,0.329778756027371,0,0.432773002420126,1.69646316343911,"AZ"
"11","Mole",1,-0.890898905560133,1.68218884383602,1,1.24223306736504,-0.660334954247613,-1.26071260992731,0.38173553611365,-0.923380516876639,0,0.0315697343972732,1.8141682428489,"AZ"
"12","Pizza",1,0.436010952550466,-0.883545128369888,1,0.85919520501678,-0.842166318460724,-0.289623167145462,0.220398488129012,-0.505660759241969,0,-0.115149305741723,1.6814982027931,"AZ"
"13","Pollito",1,-0.0834056763298564,-0.05141979718754,1,-0.47231736409861,-0.842166318460724,-0.613319648072744,0.634755272335496,-0.923380516876639,0,-0.0713166808740969,1.50670772650991,"AZ"
"14","Queso",1,-0.67751590649455,-0.6482051565569,1,1.2604729655721,-1.02399768267383,-0.775167888536384,0.142989970467105,-0.087941001607299,0,0.492143159859612,1.82211467540878,"AZ"
"15","Taco",1,-0.901978774804362,0.597682268442926,1,-1.12895369955277,0.0669905026048302,1.49070747795459,-0.287018170662424,0.747498513662041,1,0.685114852857686,1.50843036529302,"AZ"
"16","Tapa",1,0.265705720977532,-0.932623992875421,0,1.24223306736504,0.0669905026048302,-0.289623167145462,-2.09221706994771,0.747498513662041,0,0.586416791705094,1.68239631614216,"AZ"
"17","Taquito",1,1.96235845705719,0.00226021086538642,1,-0.983034513896293,0.430653231031052,-0.289623167145462,0.195140092142469,-0.087941001607299,0,-0.0331507947363721,1.62823411830931,"AZ"
"18","Tomatillo",1,-0.586393533572184,1.18628781706136,1,0.202558869562615,-0.842166318460724,-1.09886436946367,1.57345746249205,-0.505660759241969,0,0.493601162131608,1.92800796648818,"AZ"
"19","Yuca",1,-0.36384098754586,-0.82236696046195,0,-0.855355226446872,-0.114840861608281,0.0340733137818192,-1.95152916818286,2.41837754420072,1,0.42933478141823,1.54901853715979,"AZ"
"20","Akxi",1,0.126758699585658,-0.264266530887047,1,-0.496449297758597,-0.758287544405155,-2.1702668304563,0.403558270244204,-1.03778775428006,1,-0.723651549235471,1.22307668186947,"CA"
"21","Bacmut",1,-0.815428341052702,-0.206795887485422,1,-0.374246393694942,-0.758287544405155,-0.193264637456693,0.443445749972656,1.00376192627088,1,-0.234797968277263,1.78110380540493,"CA"
"22","Bunuelo",1,-0.566721478503629,0.0641623300246922,1,-0.679753653854078,-0.758287544405155,-1.2578042798411,0.798090926310768,-1.44609769039025,0,-0.048875370450581,1.78040853584488,"CA"
"23","Camote",1,2.2466159656481,-0.77973941832984,1,-0.19094203759946,-0.291649055540444,-0.953650096302696,0.589351203234419,0.595451990160692,1,-0.492456614457216,1.51503519524238,"CA"
"24","Churro",1,-0.191881074211876,-0.531346361419137,1,-0.801956557917733,-0.758287544405155,-1.1817657339565,0.297120345096748,-0.221167882059686,1,-0.146059803123149,2.02575557036762,"CA"
