BirdID,Sex,FollowNumber,Season,DistHumanFood,Notes,Spreadsheet notes
Mofongo,M,1,breeding,70.3032,,
Mofongo,M,2,breeding,475.2111,"focal follow data lost, GPS coordinates known",
Mofongo,M,3,breeding,331.3737,,
Mofongo,M,4,breeding,75.9412,,
Mole,M,1,breeding,617.0718,,
Mole,M,2,breeding,633.1333,,
Morada,F,1,breeding,63.2070,,
Morada,F,2,breeding,39.1170,,
Morada,F,3,breeding,71.3855,,
Morada,F,4,breeding,5.1500,,
Morada,F,2,nonbreeding,44.4008,,
Morada,F,1,nonbreeding,12.0670,,
Nacho,M,1,breeding,57.2532,,
Nacho,M,2,breeding,124.4392,,
Nacho,M,3,breeding,112.5195,,
Nacho,M,4,breeding,123.5931,,
Nacho,M,1,nonbreeding,34.2542,,
Nacho,M,2,nonbreeding,61.8735,,
Nacho,M,3,nonbreeding,91.8723,,
Nacho,M,4,nonbreeding,83.6134,,
Naranja,F,1,breeding,112.1253,,
Naranja,F,2,breeding,89.7296,,
Naranja,F,3,breeding,57.2532,,
Naranja,F,4,breeding,80.2996,,
Naranja,F,1,nonbreeding,88.3591,,
Naranja,F,2,nonbreeding,88.2049,,
Naranja,F,3,nonbreeding,122.9500,,
Nopal,F,1,breeding,135.5727,,
Nopal,F,2,breeding,81.7123,,
Nopal,F,3,breeding,122.9873,,
Nopal,F,1,nonbreeding,40.4071,,
Paella,F,1,breeding,25.0064,,
Paella,F,2,breeding,91.4955,,
Paella,F,3,breeding,53.2426,,
Paella,F,4,breeding,61.0269,"focal follow data lost, GPS coordinates known",
Paella,F,1,nonbreeding,123.9625,,
Palomita,F,1,breeding,76.1350,,
Palomita,F,2,breeding,96.5301,,
Palomita,F,1,nonbreeding,7.0264,,
Pan Dulce,F,1,nonbreeding,25.3389,,
Pavo,M,2,breeding,121.7843,,
Pavo,M,3,breeding,89.9120,,
Pavo,M,4,breeding,109.3633,,
Pavo,M,1,nonbreeding,34.9943,,
Pavo,M,1,breeding,103.1677,,
Pepino,M,1,breeding,13.3528,,
Pepino,M,2,breeding,21.1915,,
Pepino,M,3,breeding,157.8709,,
Pepino,M,4,breeding,43.3598,,
Pepino,M,1,nonbreeding,78.3717,,
Pepino,M,2,nonbreeding,81.4100,,
Pepino,M,3,nonbreeding,92.0352,,
Pepino,M,4,nonbreeding,129.1940,,
Pernil,M,1,breeding,66.7760,,
Pernil,M,2,breeding,157.9470,,
Pernil,M,3,breeding,148.6963,,
Pernil,M,4,breeding,120.9907,,
Pernil,M,1,nonbreeding,95.7729,,
Picante,M,1,breeding,105.9116,,
Picante,M,2,breeding,91.8723,,
Picante,M,3,breeding,148.6823,,
Picante,M,4,breeding,78.0523,,
Picante,M,1,nonbreeding,109.7066,,
Pico,M,1,breeding,7.9186,,
Pico,M,2,breeding,7.9186,,
Pico,M,3,breeding,15.5464,,
Pico,M,4,breeding,15.5464,,
Pico,M,1,nonbreeding,107.7709,,
Pico,M,2,nonbreeding,44.3061,,
Pizza,M,1,breeding,99.8810,,
Pizza,M,2,breeding,248.6133,,
Pizza,M,3,breeding,17.4104,,
Pollito,M,1,breeding,97.2262,,
Pozole,F,1,breeding,78.4390,,
Pozole,F,1,nonbreeding,122.6765,,
Pozole,F,2,nonbreeding,105.4175,,
Pupusa,F,1,breeding,130.5252,,
Pupusa,F,2,breeding,126.2729,,
Pupusa,F,3,breeding,78.5203,,
Quesadilla,F,1,breeding,14.1087,,
Quesadilla,F,2,breeding,18.1890,,
Quesadilla,F,3,breeding,18.0703,,
Quesadilla,F,1,nonbreeding,124.5723,,
Queso,M,1,breeding,71.5200,,
Queso,M,2,breeding,33.0624,,
Queso,M,3,breeding,39.9982,,
Queso,M,4,breeding,69.2231,,
Queso,M,1,nonbreeding,40.3658,,
Salsa,F,1,nonbreeding,424.2135,,
Sincronizada,F,1,breeding,68.6126,,
Sincronizada,F,2,breeding,115.5028,,
Sincronizada,F,3,breeding,51.8632,,
Sincronizada,F,1,nonbreeding,124.5723,,
Sincronizada,F,2,nonbreeding,10.1084,,
Taco,M,1,breeding,45.0460,,
Taco,M,2,breeding,39.3427,,
Taco,M,3,breeding,36.1618,,
Taco,M,4,breeding,24.8139,,
Taco,M,1,nonbreeding,15.1060,,
Taco,M,2,nonbreeding,2.5493,,
Taco,M,3,nonbreeding,110.7286,,
Taco,M,4,nonbreeding,98.5721,,
Tapa,F,1,breeding,53.9023,,
Tapa,F,2,breeding,124.8427,,
Tapa,F,3,breeding,83.9689,,
Tapa,F,1,nonbreeding,96.5301,,
Taquito,M,1,breeding,26.2141,,
Taquito,M,3,breeding,95.9713,,
Taquito,M,4,breeding,104.4445,,
Taquito,M,1,nonbreeding,74.7839,,
Taquito,M,2,nonbreeding,84.8870,,
Taquito,M,3,nonbreeding,10.0719,,
Taquito,M,2,breeding,207.7566,,
Taquito,M,4,nonbreeding,86.2643,,
Tomatillo,M,1,breeding,100.1698,,
Tomatillo,M,2,breeding,108.5150,,
Tomatillo,M,3,breeding,50.2641,,
Tomatillo,M,4,breeding,180.1018,,
Torta,F,1,nonbreeding,12.5184,,
Torta,F,2,nonbreeding,82.0645,,
Tortilla,F,1,breeding,229.3193,,
Tortilla,F,2,breeding,117.9777,,
Tortilla,F,3,breeding,76.1040,,
Tortilla,F,1,nonbreeding,56.6263,,
Tortilla,F,2,nonbreeding,18.6517,,
Tortilla,F,3,nonbreeding,30.0044,,
Tostada,F,1,breeding,111.7397,,
Tostada,F,2,breeding,121.4664,,
Tripa,F,1,breeding,58.9691,,
Tripa,F,2,breeding,50.5980,,
Tripa,F,3,breeding,17.1567,,
Tripa,F,1,nonbreeding,17.1567,,
Tripa,F,2,nonbreeding,43.0522,,
Tripa,F,3,nonbreeding,56.0369,,
Tripa,F,4,nonbreeding,71.9279,,
Uva,F,1,nonbreeding,41.8948,,
Uva,F,2,nonbreeding,68.0389,,
Yuca,F,1,breeding,77.9255,,
Yuca,F,2,breeding,45.8652,,
Yuca,F,1,nonbreeding,29.5449,,
Yuca,F,2,nonbreeding,157.2371,,
Xango,M,1,breeding,53.5903,,
Xango,M,2,breeding,180.9804,,
Flan,F,1,nonbreeding,12.4882,,
Churro,M,1,nonbreeding,314.0840,,
Tembleque,M,1,breeding,20.0797,,
Tembleque,M,1,nonbreeding,59.9590,,
Tembleque,M,2,nonbreeding,4.5068,,
Tembleque,M,3,nonbreeding,3.5817,,
Tembleque,M,4,nonbreeding,64.9323,,
Polvorones,M,1,breeding,2.6558,,
Polvorones,M,2,breeding,180.9804,,
Polvorones,M,1,nonbreeding,360.5627,,
Polvorones,M,2,nonbreeding,255.2994,,
Polvorones,M,3,nonbreeding,36.0652,,
Polvorones,M,4,nonbreeding,109.2702,,
Sopapilla,F,1,breeding,41.1784,,
Sopapilla,F,2,breeding,72.3050,,
Sopapilla,F,1,nonbreeding,57.9680,,
Sopapilla,F,2,nonbreeding,21.6941,,
Sopapilla,F,3,nonbreeding,7.4664,,
Camote,M,1,nonbreeding,190.2222,,
Camote,M,2,nonbreeding,12.7354,,
Camote,M,3,nonbreeding,50.2120,,
Camote,M,4,nonbreeding,21.7672,,
Tres Leches,F,1,breeding,297.6424,,
Pina,F,1,nonbreeding,18.8950,,
Pina,F,2,nonbreeding,20.2141,,
Pina,F,3,nonbreeding,18.6583,,
Helado,M,1,breeding,28.1942,,
Helado,M,2,breeding,1492.3159,,
Helado,M,3,breeding,1045.9411,,
Helado,M,4,breeding,1045.9411,,
Bunuelo,M,1,breeding,17.4563,,
Dulce de Leche,M,1,breeding,797.1240,,
Dulce de Leche,M,2,breeding,399.2476,,
Dulce de Leche,M,3,breeding,1751.1795,,
Dulce de Leche,M,4,breeding,8.7606,,
Dulce de Leche,M,1,nonbreeding,3.6733,,
Dulce de Leche,M,2,nonbreeding,20.9769,,
Dulce de Leche,M,3,nonbreeding,11.0015,,
Dulce de Leche,M,4,nonbreeding,10.9905,,
Zapote Negro,M,1,breeding,5.1659,,
Zapote Negro,M,2,breeding,130.8971,,
Zapote Negro,M,3,breeding,203.3307,,
Zapote Negro,M,4,breeding,15.0996,,
Zapote Negro,M,1,nonbreeding,5.7385,,
Zapote Negro,M,2,nonbreeding,97.1408,,
Zapote Negro,M,3,nonbreeding,12.9725,,
Zapote Negro,M,4,nonbreeding,9.5618,,
Ak'xi,M,1,nonbreeding,1478.1412,,
Kau,M,1,nonbreeding,10.3854,,
Kau,M,2,nonbreeding,12.4195,,
Kau,M,3,nonbreeding,12.2697,,
Galandra,F,1,breeding,65.9300,,
Galandra,F,2,breeding,14.9210,,
Galandra,F,1,nonbreeding,1022.9675,,
Galandra,F,2,nonbreeding,13.8283,,
Galandra,F,3,nonbreeding,21.2700,,
Galandra,F,4,nonbreeding,2.4317,,
Cuervo,M,1,breeding,317.0261,,
Cuervo,M,2,breeding,5.5163,,
Cuervo,M,1,nonbreeding,20.3915,,
Cuervo,M,2,nonbreeding,1.3753,,
Cuervo,M,3,nonbreeding,6.6489,,
Cuervo,M,4,nonbreeding,11.7526,,
Wachil,F,1,breeding,25.0402,,
Wachil,F,1,nonbreeding,12.4195,,
Wachil,F,2,nonbreeding,29.1287,,
Wachil,F,3,nonbreeding,64.4099,,
Wachil,F,4,nonbreeding,12.6334,,
Kel,F,1,breeding,590.3715,,
Kel,F,2,breeding,1056.7441,,
Kel,F,1,nonbreeding,22.6730,,
Kel,F,2,nonbreeding,7.2748,,
Kel,F,3,nonbreeding,22.1254,,
Kel,F,4,nonbreeding,1127.8640,,
Talingo,M,1,nonbreeding,46.9577,,
Talingo,M,2,nonbreeding,66.1116,,
Talingo,M,3,nonbreeding,37.0191,,
Talingo,M,4,nonbreeding,7.8470,,
Talingo,M,1,breeding,15.2798,,
Talingo,M,2,breeding,12.8085,,
Urraca,M,1,nonbreeding,34.5033,,
Urraca,M,2,nonbreeding,5.7719,,
Urraca,M,3,nonbreeding,16.8389,,
Urraca,M,4,nonbreeding,16.3981,,
Bacmut Bacni,M,1,breeding,12.9887,,
Bacmut Bacni,M,2,breeding,57.9082,,
Bacmut Bacni,M,1,nonbreeding,5.2556,,
Bacmut Bacni,M,2,nonbreeding,41.9240,,
Bacmut Bacni,M,3,nonbreeding,20.7973,,
Xunub,M,1,breeding,42.2238,,
Xunub,M,1,nonbreeding,59.3888,,
Xunub,M,2,nonbreeding,32.3230,,
Xunub,M,3,nonbreeding,32.4265,,
Tzanatl Preciosa,F,1,nonbreeding,174.8633,,
Tzanatl Preciosa,F,2,nonbreeding,179.7254,,
Cutuy,F,1,breeding,13.8723,,
Cutuy,F,2,breeding,9.4232,,
Cutuy,F,1,nonbreeding,60.6577,,
Cutuy,F,2,nonbreeding,28.6163,,
Cutuy,F,3,nonbreeding,62.4433,,
Cutuy,F,4,nonbreeding,13.8574,,
Quiscalus,F,1,nonbreeding,21.2492,,
Quiscalus,F,2,nonbreeding,35.6169,,
Quiscalus,F,3,nonbreeding,18.2571,,
Quiscalus,F,4,nonbreeding,41.4371,,
