CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,Condition,Time,Session,IndicatedTrial,LatencyFirstLand,LatencyFirstLand2,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView(sec),TrialEndTimeStamp,TotalTouchesToApparatusPerVideo,TotalTouchesToApparatusXVideos,MotorActionsUsed,ClosestDistanceToApparatus,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
2020-12-07,AJB,A022-N 2018-12-12 ExploreObj Familiar T1,2018-12-12,KM,A022-N,Object,Familiar,1,n/a,1,2452.6,2452.6,0,377.8,n/a,n/a,309.8,688.6,1739.4,2737.6,50,n/a,"PeckVert, PeckHorz",Touch,n/a,
2020-12-07,AJB,A022-N 2018-12-12 ExploreObj Novel T1,2018-12-12,KM,A022-N,Object,Novel,1,n/a,1,1513.0,1513.0,n/a,n/a,n/a,n/a,n/a,4.8,2716,2720.6,n/a,n/a,n/a,Far,n/a,
2020-12-07,AJB,A022-N 2019-01-12 ExploreObj Time2 Familiar T1,2019-01-12,CL,A022-N,Object,Familiar,2,1,1,334.8,334.8,46.00,48.6,n/a,n/a,49,1150.6,1501.2,2700.6,1,n/a,"StandOnTop, PeckOnTop",Touch,n/a,Stopped coding touches b/c reached max 51 criterion
2020-12-07,AJB,A022-N 2019-01-12 ExploreObj Time2 Novel T1,2019-01-12,CL,A022-N,Object,Novel,2,2,1,3.2,3.2,n/a,n/a,n/a,n/a,n/a,1557,1162.4,2719.20,n/a,51,n/a,Far,4,
2020-12-08,AJB,A025GO 2018-12-26 ExploreEnv Time1 Familiar T1,2018-12-26,CL,A025GO,Environment,Familiar,1,n/a,1,1098.80,1098.80,1134.40,n/a,1149.0,0.8,130.6,157.4,2427,2715.6,n/a,n/a,n/a,Near,n/a,
2020-12-08,AJB,A025GO 2018-12-26 ExploreEnv Time1 Novel T1,2018-12-26,CL,A025GO,Environment,Novel,1,n/a,1,836.20,836.20,995.8,n/a,n/a,n/a,52.8,263.4,2399.8,2715.80,n/a,n/a,n/a,Near,n/a,
2020-12-11,AJB,A025GO 2019-01-17 ExploreEnv Time2 Familiar T1,2019-01-17,CL,A025GO,Environment,Familiar,2,1,1,854.80,854.80,924.60,n/a,935.4,42,22.2,100.6,2540.4,2705.00,n/a,n/a,n/a,Near,n/a,
2020-12-11,AJB,A025GO 2019-01-17 ExploreEnv Time2 Novel T1,2019-01-17,CL,A025GO,Environment,Novel,2,2,1,1977.00,1977.00,n/a,n/a,n/a,n/a,n/a,198,2517.2,2715.00,n/a,n/a,n/a,Far,0,
2020-12-08,AJB,A025GO 2018-12-12 ExploreObj Familiar T1,2018-12-12,KM,A025GO,Object,Familiar,1,n/a,1,19.4,19.4,812.40,n/a,n/a,n/a,2,250.4,2480.8,2733.00,n/a,n/a,n/a,Near,n/a,
2020-12-11,AJB,A025GO 2018-12-12 ExploreObj Novel T1,2018-12-12,KM,A025GO,Object,Novel,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2751.20,2751.20,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2020-12-11,AJB,A025GO 2018-01-12 ExploreObj Time2 Familiar T1,2018-01-12,CL,A025GO,Object,Familiar,2,1,1,68.00,68.00,74.40,75.40,n/a,n/a,8.4,759.6,2008.6,2776.40,2,n/a,"PeckVert, StandOnTop",Touch,n/a,
2020-12-11,AJB,A025GO 2018-01-12 ExploreObj Time2 Novel T1,2018-01-12,CL,A025GO,Object,Novel,2,2,1,2433.20,2433.20,n/a,n/a,n/a,n/a,n/a,66.4,2660,2726.20,n/a,2,n/a,Far,2,
2020-12-14,AJB,A031-Y 2018-12-11 ExploreEnv Familiar T1,2018-12-11,KM,A031-Y,Environment,Familiar,1,1,1,620.40,620.40,631.80,n/a,632.00,6.4,4.4,203.6,2520.4,2734.60,n/a,n/a,n/a,Near,n/a,
2020-12-14,AJB,A031-Y 2018-12-11 ExploreEnv Novel T1,2018-12-11,KM,A031-Y,Environment,Novel,1,1,1,296.20,296.20,1185.80,n/a,n/a,n/a,2,328,2384.8,2714.60,n/a,n/a,n/a,Near,n/a,
2020-12-14,AJB,A031-Y 2019-01-29 ExploreEnv Time2 Familiar T1,2019-01-29,LB,A031-Y,Environment,Familiar,2,n/a,1,504.40,504.40,504.40,n/a,511.60,153.4,50.6,"76,.6",2467.80,2748.20,n/a,n/a,n/a,Near,n/a,
2020-12-14,AJB,A031-Y 2019-01-29 ExploreEnv Time2 Novel T1,2019-01-29,LB,A031-Y,Environment,Novel,2,n/a,1,483.6,483.6,n/a,n/a,n/a,n/a,n/a,249.60,2458.60,2708.00,n/a,0,n/a,Far,0,
2020-12-15,AJB,A031-Y 2018-12-13 ExploreObj Familiar T1,2018-12-13,KM,A031-Y,Object,Familiar,1,1,1,101.20,101.20,103.00,157.20,n/a,n/a,37.2,357.4,2424.4,2818.80,11,n/a,PeckVert,Touch,n/a,
2020-12-15,AJB,A031-Y 2018-12-13 ExploreObj Novel T1,2018-12-13,KM,A031-Y,Object,Novel,1,n/a,1,1736.00,1736.00,n/a,n/a,n/a,n/a,n/a,10.00,2812.20,2822.00,n/a,n/a,n/a,Far,n/a,
2020-12-15,AJB,A031-Y 2019-01-30 ExploreObj Time2 Familiar T1,2019-01-30,LB,A031-Y,Object,Familiar,2,n/a,1,836.80,836.80,2552.60,2553.20,n/a,n/a,13.6,261.6,24040.2,2715.20,5,n/a,n/a,Touch,n/a,
2020-12-15,AJB,A031-Y 2019-01-30 ExploreObj Time2 Novel T1,2019-01-30,LB,A031-Y,Object,Novel,2,n/a,1,1205.00,1205.00,n/a,n/a,n/a,n/a,n/a,255.00,2470.00,2724.80,n/a,16,n/a,Far,1,
2020-12-16,AJB,A035P- 2018-12-27 ExploreEnv Time1 Familiar T1,2018-12-27,LB,A035P,Environment,Familiar,1,n/a,1,178.20,178.20,198.00,n/a,1303.00,8.8,140.2,1251.6,1308.4,2708.80,n/a,n/a,n/a,Near,n/a,
2020-10-29,AJB,A035P- 2018-12-27 ExploreEnv Time1 Novel T1,2018-12-27,LB,A035P,Environment,Novel,1,n/a,1,72.80,72.80,128.60,172.40,454.60,334.80,1680.00,570.00,149.60,2734.20,51,n/a,"PeckVert, PeckHorz, PeckUpDown, PeckOnTop, PushVert, PushOnTop, PullVert, PullHorz, PullOnTop, GrabVert, GrabHorz, GrabOnTop, GapeHorz, StandOnTop",Touch,n/a,
2020-12-16,AJB,A035P- 2019-2-12 ExploreEnv Time2 Familiar T1,2018-02-12,KM,A035P,Environment,Familiar,2,n/a,1,57.60,57.60,60.60,n/a,74.00,70.40,148.60,440.60,2113.20,2772.60,n/a,n/a,n/a,Near,n/a,
2020-10-29,AJB,A035P- 2019-2-12 ExploreEnv Time2 Novel T1,2018-02-12,KM,A035P,Environment,Novel,2,n/a,1,13.8,13.8,18.40,22.00,43.60,301.80,823.80,240.80,1374.20,2740.40,n/a,51,"PushHorz, GrabUpDown",Touch,16,
