"FocalFollowNumber, Bird ID, Date",1NumberDifferentFoodsEaten,2NumberDifferentFoodsEaten,1NumberForagingTechniques,2NumberForagingTechniques,1NumberAffiliativeInteractions,2NumberAffiliativeInteractions,1NumberAggressiveInteractions,2NumberAggressiveInteractions,1NumberTimesSubjectInitiatedAggression,2NumberTimesSubjectInitiatedAggression,1Microhabitat,2Microhabitat,Coder1,Coder2,Notes
"6,UBM3,2019-5-28",0,0,0,0,0,0,15,15,0,0,Tree,Tree,Luisa,Kelsey,
"7,Crema,2019-05-29",0,0,0,0,0,0,0,0,0,0,NA,NA,Luisa,Kelsey,Did not include 2 affiliations when Crema was out of view for Luisa.  Forgot to measure group size and microhabitat at end because she flew out of sight before end of follow
"8,Crema,2019-06-04",0,1,1,0,3,4,0,0,0,0,Tree,Tree,Luisa,Kelsey,
"9,Taquito,2019-06-05",0,0,0,0,2,2,3,3,3,3,Building,Building,Luisa,Kelsey,Did not include 1 affiliation and 2 aggressive behaviors where he was out of view for Kelsey
"10,Chile/UBM,2019-06-06",0,0,4,4,2,2,7,8,7,8,Building,Building,Luisa,Kelsey,Did not include 1 aggressive interaction where Chile was out of view of Kelsey
"11,Queso,2019-06-10",0,0,0,0,0,0,10,10,10,10,Tree,Tree,Luisa,Kelsey,KM/MF had trouble with follow ending so was out of view for ~5 ruff outs and 1 solicitation that LB saw
