VideoFileName,Experiment,Coder1timeentertent,Coder1closestdistancetoapparatus,Coder2timeentertent,Coder2closestdistancetoapparatus,"Notes: coder 1=Alexis, coder 2=Vincent"
A036R- 2019-2-12 ExploreEnv Time2 Novel T1,Environment,n/a,Near,n/a,Touch,
A036R- 2018-12-28 ExploreObj Time1 Familiar T1,Object,n/a,Touch,n/a,Touch,
A036R- 2018-12-28 ExploreObj Time1 Novel T1,Object,n/a,Near,n/a,Near,
A036R- 2019-2-13 ExploreObj Time2 Familiar T1,Object,n/a,Touch,n/a,Touch,
A036R- 2019-2-13 ExploreObj Time2 Novel T1,Object,n/a,Far,n/a,Far,
A022-N 2018-12-22 Boldness Time 1 C1 T1,Boldness,,n/a,,n/a,
A022-N 2018-12-22 Boldness Time 1 C1 T2,Boldness,,OutOfView,,OutOfView,
A022-N 2018-12-22 Boldness Time 1 C1 T3,Boldness,,n/a,,n/a,
A022-N 2018-12-24 Boldness Time 1 C2 T1,Boldness,,n/a,,n/a,
A022-N 2018-12-24 Boldness Time 1 C2 T2,Boldness,,OutOfView,,OutOfView,
A022-N 2018-12-24 Boldness Time 1 C2 T3,Boldness,,n/a,,n/a,
A022-N 2018-12-25 Boldness Time1 C3 T1,Boldness,,n/a,,n/a,
A022-N 2018-12-25 Boldness Time1 C3 T2,Boldness,,OutOfView,,OutOfView,
A022-N 2018-12-25 Boldness Time1 C3 T3,Boldness,,n/a,,n/a,
A022-N 2019-01-14 Boldness Time2 C1 T1,Boldness,,n/a,,n/a,
A022-N 2019-01-14 Boldness Time2 C1 T2,Boldness,,OutOfView,,OutOfView,
A022-N 2019-01-14 Boldness Time2 C1 T3,Boldness,,n/a,,n/a,
A022-N 2019-01-15 Boldness Time2 C2 T1,Boldness,,n/a,,n/a,
A022-N 2019-01-15 Boldness Time2 C2 T2,Boldness,,Near,,Near,
A022-N 2019-01-15 Boldness Time2 C2 T3,Boldness,,n/a,,n/a,
A022-N 2019-01-16 Boldness Time2 C3 T1,Boldness,,n/a,,n/a,
A022-N 2019-01-16 Boldness Time2 C3 T2,Boldness,,Far,,Far,
A022-N 2019-01-16 Boldness Time2 C3 T3,Boldness,,n/a,,n/a,
A031-Y 2018-12-25 Boldness C1 T1,Boldness,,n/a,,n/a,
A031-Y 2018-12-25 Boldness C1 T2,Boldness,,Far,,Near,
A031-Y 2018-12-25 Boldness C1 T3,Boldness,,n/a,,n/a,
A031-Y 2018-12-24 Boldness C2 T1,Boldness,,n/a,,n/a,
A031-Y 2018-12-24 Boldness C2 T2,Boldness,,Far,,Near,
A031-Y 2018-12-24 Boldness C2 T3,Boldness,,n/a,,n/a,
