"","Date","Aviary","ID","Sex","FatScore","mass","Ltarsus","Rtarsus","tarsus","Lwing","Rwing","wing","Season","Experimenter","Body","Fatbin","Body2"
"95","19-Sept-2019","Wild","Pinto beans","F",0,82,37.4,40.1,38.75,135,137,136,"non-breeding","MF",82.7825598904249,0,-1.42688071606214
"98","28-Jan-2019","Wild","Platana","F",0,89,35.3,33.9,34.6,139,141,140,"non-breeding","KM",88.7950788171025,0,-0.664472693276617
"102","1-Apr-2019","Wild","Pozole","F",0,99,37,37.5,37.25,135,136,135.5,"breeding","KM",100.094803971065,0,0.768371214195749
"103","19-Feb-2020","Wild","Pupusa","F",0,90,40.1,39.6,39.85,135,134,134.5,"non-breeding","KM",91.2701508149869,0,-0.350625074471436
"105","17-Apr-2018","Wild","Quesadilla","F",NA,90,33.1,34,33.55,133,134,133.5,"breeding","LB",91.5479162664978,NA,-0.315403462486995
"108","9-May-2019","Wild","Ranchera","F",0,83,37.5,38.5,38,146,142,144,"breeding","KM",81.8644390733814,0,-1.54330158480894
"110","","Wild","Salsa","F",NA,102,35,35.8,35.4,140,140,140,"breeding","LB",101.765146509488,NA,0.980176377326882
"111","2-Apr-2019","Wild","Shakira","F",0,82,36.7,38.5,37.6,135,139,137,"breeding","MF",82.5359827745711,0,-1.45814754010957
"112","30-May-2018","Wild","Sincronizada","F",NA,104,35,34.5,34.75,132,139,135.5,"breeding","LB",105.150097100917,NA,1.40939972266837
"113","14-Oct-2019","Wild","Sofrita","F",0,98,41.5,40.7,41.1,136,136,136,"non-breeding","MF",98.9352545031908,0,0.621336364425658
"116","14-Oct-2019","Wild","Tajin","F",0,100,41.6,70.1,55.85,141,141,141,"non-breeding","MF",99.4810244404137,0,0.690541864451228
"117","18-Sept-2019","Wild","Tamale","F",0,101,40,39,39.5,130,131,130.5,"non-breeding","MF",103.692311361726,0,1.22454749074779
"118","5-Nov-2018","Wild","Tapa","F",1,90,36.3,36.3,36.3,140,146,143,"non-breeding","LB",89.0209112810157,1,-0.635836362249216
"125","11-Mar-2019","Wild","Torta","F",1,90,34.5,36,35.25,141,144,142.5,"breeding","MF",89.1479652775959,1,-0.619725479688849
"126","19-Jun-2018","Wild","Tortilla","F",NA,98,38,36.8,37.4,150,150,150,"breeding","LB",95.0658155319104,NA,0.130678230728387
"127","1-May-2018","Wild","Tostada","F",NA,100,35.7,37,36.35,142,141,141.5,"breeding","LB",99.3377391770807,NA,0.672372801593512
"128","9-Apr-2019","Wild","Tripa","F",2,110,37.4,37.7,37.55,136,136,136,"breeding","KM",111.049775462765,1,2.15749917479151
"129","6-Nov-2019","Wild","Uva","F",1,89,37.3,37.5,37.4,139,139,139,"non-breeding","MF",89.0546418035639,1,-0.631559216294738
"130","8-Jun-2018","Wild","Yerba","F",NA,106,38,35.9,36.95,146,146,146,"breeding","LB",103.964213999175,NA,1.2590256777997
"131","18-Nov-2019","Wild","Yuca","F",0,94,38.5,39.5,39,142,142,142,"non-breeding","MF",93.2434547405338,0,-0.100403368298362
