"","ID.1","Site","ID.2"
"574","Kel","CA","unknown adult female37"
"576","Talingo","CA","unbanded adult female107"
"577","Talingo","CA","unbanded adult male91"
"580","unbanded adult female119","CA","Wachil"
"581","unbanded adult male92","CA","Wachil"
"583","unbanded unknown female2","CA","Wachil"
"585","unknown adult female38","CA","Wachil"
"587","unknown female24","CA","Wachil"
"589","Polvorones","CA","unbanded adult female101"
"590","Polvorones","CA","unbanded adult male93"
"592","Polvorones","CA","unbanded juvenile male7"
"594","Polvorones","CA","unbanded unknown female3"
"596","Polvorones","CA","unknown adult female39"
"601","unbanded adult female115","CA","Urraca"
"602","unbanded adult male94","CA","Urraca"
"604","unknown male6","CA","Urraca"
"609","Pina","CA","unbanded adult female96"
"610","Pina","CA","unbanded adult male95"
"612","Pina","CA","unknown adult female40"
"614","Pina","CA","unknown female25"
"616","Pina","CA","unknown male7"
"619","Cutuy","CA","unbanded adult female81"
"620","Cutuy","CA","unbanded unknown female4"
"622","Tembleque","CA","unbanded adult female110"
"623","Tembleque","CA","unbanded adult male96"
"626","Galandra","CA","unbanded adult female88"
"627","Galandra","CA","unbanded adult male97"
"629","Quiscalus","CA","unbanded adult female103"
"630","Quiscalus","CA","unbanded adult male98"
"632","unbanded adult male99","CA","Xunub"
"634","unknown adult male24","CA","Xunub"
"636","unknown female26","CA","Xunub"
"638","Kel","CA","unbanded adult female94"
"639","Kel","CA","unbanded adult male100"
"641","Kel","CA","unbanded juvenile female8"
"643","Kel","CA","unknown female27"
"645","Talingo","CA","unbanded adult female108"
"646","Talingo","CA","unbanded adult male101"
"648","Talingo","CA","unbanded unknown female5"
"650","Talingo","CA","unknown adult male25"
"652","Talingo","CA","unknown juvenile male1"
"654","Talingo","CA","unknown male8"
"656","unbanded adult female120","CA","Wachil"
"657","unbanded adult male102","CA","Wachil"
"659","unknown female28","CA","Wachil"
"662","unbanded adult female116","CA","Urraca"
"663","unbanded adult male103","CA","Urraca"
"665","unknown female29","CA","Urraca"
"667","unknown male9","CA","Urraca"
"669","Cutuy","CA","unbanded adult female82"
"670","Cutuy","CA","unbanded juvenile female9"
"672","Cutuy","CA","unknown adult male26"
"674","Pina","CA","unbanded adult female97"
"675","Pina","CA","unbanded adult male104"
"677","Galandra","CA","unbanded adult female89"
"678","Galandra","CA","unbanded adult male105"
"680","Galandra","CA","unknown adult female41"
"682","Quiscalus","CA","unbanded adult female104"
"683","Quiscalus","CA","unbanded adult male106"
"685","Quiscalus","CA","unbanded unknown female6"
"688","Kel","CA","unbanded adult female95"
"689","Kel","CA","unbanded adult male107"
"691","Kel","CA","unbanded juvenile female10"
