Central America,Core,Unknown,800000,142857.1,5594,Tempe,Johnson & Cicero 2004
"Tempe, Arizona",Middle of expansion,1936,66,11.8,1259,Woodland,Wehtje 2003
"Woodland, California",Edge,2000,20,3.6,1259,Tempe,Pandolfino et al. 2009
