"Tempe, Arizona",Middle of expansion,1951,70,12.5,"Wehtje 2003, 2004"
"Woodland, California",Northern edge,2004,17,3.0,"Burrowing Owl July 2004, Pandolfino et al. 2009"
"Sacramento, California",Northern edge,2009,12,2.1,eBird.org
