"","MothersID","DayofYear","NestID","Interval","Fate","MalesIDinTerritory","Year","DayofYear2","FatScore","Experimenter","Body","Body2","Fatbin","Aviary"
"47","Cemita",20105,"AN019",1,1,"Pavo","2020",0.384162114046146,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"48","Cemita",20131,"AN019",3,1,"Pavo","2020",0.455592384632083,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"49","Cemita",20100,"AN019",2,1,"Pavo","2020",0.37042552354885,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"50","Cemita",20097,"AN019",4,1,"Pavo","2020",0.362183569250473,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"51","Cemita",20118,"AN019",1,1,"Pavo","2020",0.419877249339114,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"52","Cemita",20126,"AN019",2,1,"Pavo","2020",0.441855794134787,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"53","Cemita",20128,"AN019",2,1,"Pavo","2020",0.447350430333706,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"54","Cemita",20121,"AN019",2,1,"Pavo","2020",0.428119203637492,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"55","Cemita",20124,"AN019",3,1,"Pavo","2020",0.436361157935869,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"56","Cemita",20117,"AN019",6,1,"Pavo","2020",0.417129931239655,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"57","Cemita",20107,"AN019",1,1,"Pavo","2020",0.389656750245064,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"58","Cemita",20111,"AN019",4,1,"Pavo","2020",0.400646022642901,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"60","Cemita",20119,"AN019",1,1,"Pavo","2020",0.422624567438573,0,"MF",95.2273580328856,0.151162373941292,0,"no"
"61","Chalupa",20126,"AN020",1,1,"UB","2020",0.441855794134787,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"62","Chalupa",20106,"AN020",1,1,"UB","2020",0.386909432145605,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"64","Chalupa",20127,"AN020",1,1,"UB","2020",0.444603112234246,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"65","Chalupa",20125,"AN020",3,1,"UB","2020",0.439108476035328,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"66","Chalupa",19157,"AN067",1,0,"UB","2019",-2.2202954442411,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"67","Chalupa",20104,"AN020",3,1,"UB","2020",0.381414795946687,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"68","Chalupa",20107,"AN020",1,1,"UB","2020",0.389656750245064,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
