CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,AviaryOrWild,Condition,Time,IndicatedTrial,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,ApproachedFirst,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
2020-02-15,AJB,A022-N 2018-12-22 Boldness Time 1 C1 T2,2018-12-22,CL,A022-N,Boldness,Aviary,C1,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1687.60,OutOfView,1687.60,n/a,n/a,n/a,
2020-02-15,AJB,A022-N 2018-12-22 Boldness Time 1 C1 T3,2018-12-22,CL,A022-N,Boldness,Aviary,C1,1,3,1.60,n/a,6.80,n/a,n/a,n/a,n/a,n/a,n/a,305.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A022-N 2018-12-24 Boldness Time 1 C2 T1,2018-12-24,CL,A022-N,Boldness,Aviary,C2,1,1,4.60,n/a,13.00,n/a,n/a,n/a,n/a,n/a,n/a,304.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A022-N 2018-12-24 Boldness Time 1 C2 T2,2018-12-24,CL,A022-N,Boldness,Aviary,C2,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,909.00,OutOfView,909.00,n/a,n/a,n/a,
2020-02-15,AJB,A022-N 2018-12-24 Boldness Time 1 C2 T3,2018-12-24,CL,A022-N,Boldness,Aviary,C2,1,3,2.40,n/a,5.60,n/a,n/a,n/a,n/a,n/a,n/a,312.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A022-N 2018-12-25 Boldness Time1 C3 T1,2018-12-25,CL,A022-N,Boldness,Aviary,C3,1,1,0.00,n/a,0.00,n/a,n/a,n/a,n/a,n/a,n/a,24.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A022-N 2018-12-25 Boldness Time1 C3 T2,2018-12-25,CL,A022-N,Boldness,Aviary,C3,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,909.20,OutOfView,909.20,n/a,n/a,n/a,
2020-02-15,AJB,A022-N 2018-12-25 Boldness Time1 C3 T3,2018-12-25,CL,A022-N,Boldness,Aviary,C3,1,3,25.80,n/a,39.20,n/a,n/a,n/a,n/a,n/a,n/a,318.00,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-16,AJB,A022-N 2019-01-14 Boldness Time2 C1 T1,2019-01-14,CL,A022-N,Boldness,Aviary,C1,2,1,0.00,n/a,0.00,n/a,n/a,n/a,n/a,n/a,n/a,19.00,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-16,AJB,A022-N 2019-01-14 Boldness Time2 C1 T2,2019-01-14,CL,A022-N,Boldness,Aviary,C1,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,903.00,OutOfView,903.00,n/a,n/a,n/a,
