Central America,Core,Unknown,800000,142857.1,Johnson & Cicero 2004
"Tempe, Arizona",Middle of expansion,1951,69,12.3,"Wehtje 2003, 2004"
"Woodland, California",Northern edge,2004,16,2.9,"Burrowing Owl July 2004, Pandolfino et al. 2009"
