"","BirdID","TotalFoodEvents","Sex","PercentTerritoryShared","MaleSharesTerritoryWithOtherMale","SumFocalTime","NumFoodTypes","FoodTypesPerSec","NumForageTechs","ForageTechsPerSec","PropHumanFood","NumHumanFood","PropMicroHabitatHumSurface","PropMicroHabitatBuilding","PropMicroHabitatDumpster","PropMicroHabitatMiscHum","PropMicroHabitatNatGround","PropMicroHabitatRock","PropMicroHabitatShrub","PropMicroHabitatGrass","PropMicroHabitatTree","ShannonDiversityIndex","Phi","Lambda","DomRank","FlexibilityManipulated","MABavgLatencySwitch","Population","NumFollows","Notes","MaxBondStrength","Strength","Degree","SumFoodEvents","AvgCaloriesPer100g"
"59","Sopapilla",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Taco",21,"M",81.36,"Y",6802,4,0.001,5,0.001,0.63,1,0,0,0,0.13,0,0,0,0.13,0.75,0.75,0.02416,4.29806,0.810526,"No","117","AZ",8,"",0.222222222222222,0.506535947712418,4,6,272.8
"61","Talingo",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Tapa",8,"F",NA,NA,2761,1,0,2,0.001,0,0,0,0,0,0,0,0.25,0,0.25,0.5,1.04,0.01717,4.45838,0,"No","-","AZ",4,"No aggressive interactions",NA,NA,NA,6,276
"63","Taquito",3,"M",94.32,"Y",6072,1,0,2,0,0,0,0.14,0.14,0,0.29,0,0,0,0.14,0.29,1.54,0.0103,4.38858,0.641026,"No","100","AZ",8,"No substrate entered for nbs1",0.0952380952380952,0.273809523809524,3,2,276
"64","Tembleque",8,"M",81.9,"Y",3245,2,0.001,1,0,1,2,0.2,0.4,0,0.2,0,0.2,0,0,0,1.33,0.08183,4.64603,0.75,"No","469","CA",5,"",0.105263157894737,0.241009764229578,3,8,362.9
"65","Tomatillo",9,"M",100,"Y",2795,2,0.001,2,0.001,1,2,0.25,0.5,0,0,0,0,0,0.25,0,1.04,0.04516,4.30384,0.975904,"No","-","AZ",4,"",NA,NA,NA,8,319
"66","Torta",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Tortilla",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Tostada",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Tres Leches",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Tripa",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Urraca",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Uva",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Wachil",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Xango",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Xunub",4,"M",62.41,"Y",2507,4,0.002,3,0.001,0.75,3,0,0.25,0,0,0,0,0,0,0.75,0.56,0.01172,7.65057,0.5,"No","712","CA",4,"",NA,NA,NA,2,211
"76","Zapote Negro",4,"M",45.15,"Y",5515,2,0,1,0,1,2,0.25,0.38,0,0,0.13,0,0,0,0.25,1.32,0.03388,4.70587,0.784615,"No","1599","CA",8,"",NA,NA,NA,4,257
