BirdID,Test,Condition,Time,LatencyFirstLand,LatencyFirstTimeWithin20cmOfObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear.20cm,TotalDurationFar.20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,Site,,,
Fideo,Environment,Novel,2,1299,n/a,n/a,0,0,70,2657.2,Far,2727.2,AZ,,,
Fideo,Object,Familiar,1,245.2,339.8,n/a,0,1.4,169.4,2552,Near,2722.8,AZ,,,
Fideo,Object,Novel,1,NA,n/a,n/a,0,0,0,2731.6,OutOfView,2731.6,AZ,,,
Fideo,Object,Familiar,2,1564.6,n/a,n/a,0,0,392.2,2331.4,Far,2723.6,AZ,,,
Fideo,Object,Novel,2,645.2,n/a,n/a,0,0,56.2,2664.6,Far,2720.8,AZ,,,
Avocada,Environment,Familiar,1,33,1380.2,1381.6,5.4,23,753,1935.4,Near,2716.8,AZ,,,
Avocada,Environment,Novel,1,953.2,1068.8,n/a,0,41.8,1145,1592.2,Near,2779,AZ,,,
Avocada,Environment,Familiar,2,210,227.2,234.2,19.8,84.4,445,2163.4,Near,2712.6,AZ,,,
Avocada,Environment,Novel,2,270.4,286.6,n/a,0,33.8,726.2,1944,Near,2704,AZ,,,
Avocada,Object,Familiar,1,134.2,888,n/a,0,2,490,2107.2,Near,2599.2,AZ,,,
Avocada,Object,Novel,1,673.2,n/a,n/a,0,0,651,2085.8,Far,2736.8,AZ,,,
Avocada,Object,Familiar,2,128.2,n/a,n/a,0,0,1114.8,1637.8,Far,2752.6,AZ,,,
Avocada,Object,Novel,2,1035,n/a,n/a,0,0,857,1856,Far,2713,AZ,,,
Diablo,Environment,Familiar,1,1435,n/a,n/a,0,0,186.6,2532.6,Far,2719.2,AZ,,,
Diablo,Environment,Novel,1,NA,n/a,n/a,0,0,0,2716,OutOfView,2716,AZ,,,
Diablo,Environment,Familiar,2,2257,2797.4,n/a,0,0.2,341.2,2620.8,Near,2962.2,AZ,,,
Diablo,Environment,Novel,2,NA,n/a,n/a,0,0,0,2720.4,OutOfView,2720.4,AZ,,,
Diablo,Object,Familiar,1,1562.2,n/a,n/a,0,0,153,2720,Far,2873,AZ,,,
Diablo,Object,Novel,1,NA,n/a,n/a,0,0,0,3340,OutOfView,3340,AZ,,,
Diablo,Object,Familiar,2,11.2,2612,n/a,0,0.2,228.4,2500.4,Near,2729,AZ,,,
Diablo,Object,Novel,2,NA,n/a,n/a,0,0,0,2708.6,OutOfView,2708.6,AZ,,,
Burrito,Environment,Familiar,1,383,383,383,5.6,213.6,503.4,2005.8,Near,2728.4,AZ,,,
Burrito,Environment,Novel,1,79.4,131,573.6,15.8,648.2,311,1693,Touch,2668,AZ,,,
Burrito,Environment,Familiar,2,51.8,174,174.2,32.2,48.6,1067.8,1592.2,Near,2740.8,AZ,,,
Burrito,Environment,Novel,2,5,9.8,380.6,354.4,994.8,1011.6,390.8,Touch,2751.6,AZ,,,
Burrito,Object,Familiar,1,1.2,43.8,n/a,0,212.6,531.2,1987.6,Touch,2731.4,AZ,,,
Burrito,Object,Novel,1,1511.2,n/a,n/a,0,0,251.8,2494,Far,2745.8,AZ,,,
Burrito,Object,Familiar,2,0.8,4.6,n/a,0,331.6,664.4,1731.6,Touch,2727.6,AZ,,,
Burrito,Object,Novel,2,42.4,n/a,n/a,0,0,734.8,1986.8,Far,2721.6,AZ,,,
Taco,Environment,Familiar,1,266.4,284.6,301.2,98,206.8,849.2,1565.4,Near,2719.4,AZ,,,
Taco,Environment,Novel,1,61.2,161.4,n/a,0,398.8,564.2,1805.6,Touch,2768.6,AZ,,,
Taco,Environment,Familiar,2,1439.6,1471.4,1989.2,10.8,284.2,929.6,1476.8,Near,2701.4,AZ,,,
Taco,Environment,Novel,2,96,135.2,347.2,1175.8,607.8,471,460.6,Touch,2715.2,AZ,,,
Taco,Object,Familiar,1,257.2,297.4,n/a,0,32.6,1370,1324,Touch,2726.6,AZ,,,
Taco,Object,Novel,1,1051.6,n/a,n/a,0,0,273.4,2448,Far,2721.4,AZ,,,
Taco,Object,Familiar,2,47,51.4,n/a,0,261,1174.2,1282.2,Touch,2717.4,AZ,,,
Taco,Object,Novel,2,61.6,n/a,n/a,0,0,1809.6,888.8,Far,2698.4,AZ,,,
Adobo,Environment,Familiar,1,652,1798.2,1831.4,176,195.8,953,1418.2,Near,2743,AZ,,,
Adobo,Environment,Novel,1,874.6,882.6,n/a,0,834.8,271.6,1620.6,Touch,2727,AZ,,,
Adobo,Environment,Familiar,2,107.4,388.4,388.8,136.4,418,1656.6,801,Near,3012,AZ,,,
Adobo,Environment,Novel,2,1074.8,11.2,n/a,0,1150.4,1276.2,290,Touch,2716.6,AZ,,,
Adobo,Object,Familiar,1,173.6,1,n/a,0,69,1347.4,1302.4,Touch,2718.8,AZ,,,
Adobo,Object,Novel,1,NA,n/a,n/a,0,0,0,2719.2,OutOfView,2719.2,AZ,,,
Adobo,Object,Familiar,2,54.8,0,n/a,0,108.8,849.4,1758.4,Touch,2716.6,AZ,,,
Adobo,Object,Novel,2,312.4,1188,n/a,0,0,2099.2,615.4,Touch,2714.6,AZ,,,
Marisco,Environment,Familiar,1,1139.2,0,0.8,24.8,42.8,193.8,2476.8,Near,2738.2,AZ,,,
Marisco,Environment,Novel,1,1900,n/a,n/a,0,0,2.6,2701.8,Far,2704.4,AZ,,,
Marisco,Environment,Familiar,2,369.6,428.4,369.6,2.2,28.2,322.8,2373.6,Near,2726.8,AZ,,,
Marisco,Environment,Novel,2,NA,n/a,n/a,0,0,0,2772.2,OutOfView,2772.2,AZ,,,
Marisco,Object,Familiar,1,5.6,55,n/a,0,19.8,1110.6,1580.8,Touch,2711.2,AZ,,,
Marisco,Object,Novel,1,NA,n/a,n/a,0,0,0,2716.4,OutOfView,2716.4,AZ,,,
Marisco,Object,Familiar,2,208.8,n/a,n/a,0,0,1088.2,1629.6,Far,2717.8,AZ,,,
Marisco,Object,Novel,2,NA,n/a,n/a,0,0,0,2718.8,OutOfView,2718.8,AZ,,,
Chilaquile,Environment,Familiar,1,43,161,161.4,59.2,154.2,216.8,2282.8,Near,2713,AZ,,,
Chilaquile,Environment,Novel,1,629.6,213.6,n/a,8.4,113.8,558.8,2032.8,Touch,2713.8,AZ,,,
Chilaquile,Environment,Familiar,2,35.8,35.8,95.8,33.4,384,841.2,1474.4,Near,2733,AZ,,,
Chilaquile,Environment,Novel,2,121,144.4,1044.6,8.8,935.4,201.6,1571.4,Touch,2717.2,AZ,,,
Chilaquile,Object,Familiar,1,1171,1187.2,n/a,0,51.8,421.4,2239.6,Touch,2712.8,AZ,,,
Chilaquile,Object,Novel,1,NA,n/a,n/a,0,0,0,2717.4,OutOfView,2717.4,AZ,,,
Chilaquile,Object,Familiar,2,21.2,26,n/a,0,738.6,351.8,1624.2,Touch,2714.6,AZ,,,
Chilaquile,Object,Novel,2,NA,n/a,n/a,0,0,0,2713,OutOfView,2713,AZ,,,
Yuca,Environment,Familiar,1,60,827.2,832.6,1.2,19.2,519,2179.8,Near,2719.2,AZ,,,
Yuca,Environment,Novel,1,624.6,n/a,n/a,0,0,54.4,2656.2,Far,2710.6,AZ,,,
Yuca,Environment,Familiar,2,2548,392.4,392.8,0.6,0.6,165.4,2627.2,Near,2793.8,AZ,,,
Yuca,Environment,Novel,2,924.6,931.6,n/a,0,31,289.8,2392.6,Near,2713.4,AZ,,,
Yuca,Object,Familiar,1,21.2,44.6,n/a,0,10,547.6,2183,Far,2740.6,AZ,,,
Yuca,Object,Novel,1,987.2,n/a,n/a,0,0,237.6,2476.2,Far,2713.8,AZ,,,
Yuca,Object,Familiar,2,11,15.6,n/a,0,123.2,100.2,2511.2,Touch,2734.6,AZ,,,
Yuca,Object,Novel,2,271.4,n/a,n/a,0,0,334.4,2384.8,Far,2719.2,AZ,,,
Pizza,Environment,Familiar,1,190.6,223,223.2,42.8,4.6,384.8,2319,Near,2751.2,AZ,,,
Pizza,Environment,Novel,1,1462,n/a,n/a,0,0,125.4,2587.4,Far,2712.8,AZ,,,
Pizza,Environment,Familiar,2,1422.6,1440.2,1440.8,1.6,34.8,468.8,2224,Near,2729.2,AZ,,,
Pizza,Environment,Novel,2,1399.4,n/a,n/a,0,0,178,2544.6,Far,2722.6,AZ,,,
Pizza,Object,Familiar,1,62.2,n/a,n/a,0,0,123.6,3067.4,Far,3191,AZ,,,
Pizza,Object,Novel,1,1563.2,n/a,n/a,0,0,178,2554.6,Far,2732.6,AZ,,,
Pizza,Object,Familiar,2,1092.6,n/a,n/a,0,0,215.6,1895.2,Far,2110.8,AZ,,,
Pizza,Object,Novel,2,595,n/a,n/a,0,0,208.2,2503.2,Far,2711.4,AZ,,,
Mofongo,Environment,Familiar,1,797,797,797,22.2,146.4,593.4,1967.8,Near,2729.8,AZ,,,
Mofongo,Environment,Novel,1,89.8,92.8,n/a,0,138.6,1365.2,1221.6,Touch,2725.4,AZ,,,
Mofongo,Environment,Familiar,2,337.8,337.8,n/a,0,31.6,152.6,2531.4,Near,2715.6,AZ,,,
Mofongo,Environment,Novel,2,45.8,50.8,n/a,0,11,355.8,2395.4,Near,2762.2,AZ,,,
Mofongo,Object,Familiar,1,1282.6,n/a,n/a,0,0,126.8,2577,Far,2703.8,AZ,,,
Mofongo,Object,Novel,1,1889.2,n/a,n/a,0,0,419.6,2419.2,Far,2838.8,AZ,,,
Mofongo,Object,Familiar,2,41.8,50,n/a,0,2.8,2074.4,636.4,Near,2713.6,AZ,,,
Mofongo,Object,Novel,2,72,n/a,n/a,0,0,2242.4,491.8,Far,2734.2,AZ,,,
Pollito,Environment,Familiar,1,929.2,929.2,1000.4,3.6,11.8,109.4,2595.8,Near,2720.6,AZ,,,
Pollito,Environment,Novel,1,918.2,926.8,n/a,0,95.4,314.8,2304.6,Near,2714.8,AZ,,,
Pollito,Environment,Familiar,2,236.6,236.6,1454,9.8,171.2,307.8,2232.4,Near,2721.2,AZ,,,
Pollito,Environment,Novel,2,891,892.8,n/a,0,258.6,611.2,1853.8,Near,2723.6,AZ,,,
Pollito,Object,Familiar,1,1995.4,n/a,n/a,0,0,156.4,2582.8,Far,2739.2,AZ,,,
Pollito,Object,Novel,1,1649.8,n/a,n/a,0,0,88.4,2633.8,Far,2722.2,AZ,,,
Pollito,Object,Familiar,2,2255,n/a,n/a,0,0,6,2713.8,Far,2719.8,AZ,,,
Pollito,Object,Novel,2,646.4,n/a,n/a,0,0,79.8,2636,Far,2715.8,AZ,,,
Xango,Environment,Familiar,1,263.6,263.8,357.6,2.8,3.4,462.6,2312.4,Near,2780.8,CA,,,
Xango,Environment,Novel,1,514.6,2187.4,n/a,0,4.8,316.4,2379.4,Near,2700.4,CA,,,
Xango,Object,Familiar,1,935.4,938.8,n/a,0,10,161.6,2592.2,Near,2763.4,CA,,,
Xango,Object,Novel,1,1345.4,n/a,n/a,0,0,240.4,2520.4,Far,2760.4,CA,,,
Xango,Environment,Familiar,2,1929.8,1984.8,1930,76,2.8,193,2458.4,Near,2729.8,CA,,,
Xango,Environment,Novel,2,153.8,281,n/a,0,14.4,569.4,2165,Near,2748.4,CA,,,
Xango,Object,Familiar,2,1070.2,1070.2,n/a,0,66.4,226,2420.6,Near,2712.8,CA,,,
Xango,Object,Novel,2,139.8,n/a,n/a,0,0,190,2586,Far,2775.8,CA,,,
Flan,Object,Familiar,1,2243.8,2396.4,n/a,0,19.8,159.8,2564.6,Near,2744,CA,,,
Flan,Object,Novel,1,774.4,n/a,n/a,0,0,215.4,2498,Far,2713.2,CA,,,
Flan,Environment,Familiar,1,960,1269.2,1273,53.6,11.4,424.8,2261.2,Near,2750.6,CA,,,
Flan,Environment,Novel,1,1049.2,2379.6,n/a,0,30.2,576.4,2149.6,Near,2755.8,CA,,,
Flan,Object,Familiar,2,2.2,84.6,n/a,0,20.4,326,2330.6,Near,2676.8,CA,,,
Flan,Object,Novel,2,680.8,n/a,n/a,0,0,790.2,1948.4,Far,2688.2,CA,,,
Flan,Environment,Familiar,2,7.2,94,94.4,53.6,4,240.8,2428.6,Near,2724.8,CA,,,
Flan,Environment,Novel,2,372.6,543,n/a,0,14.4,695.8,2017,Near,2726.8,CA,,,
Churro,Object,Familiar,1,765,765,n/a,0,47,254.4,2417.8,Near,2718.4,CA,,,
Churro,Object,Novel,1,1479,n/a,n/a,0,0,139,2706.2,Far,2844.8,CA,,,
Churro,Environment,Familiar,1,380,385.6,383.6,2,64.6,90.6,2563,Near,2717.2,CA,,,
Churro,Environment,Novel,1,797.4,n/a,n/a,0,0,167.4,2733.8,Far,2900.8,CA,,,
Churro,Object,Familiar,2,195.6,199.6,n/a,0,39.2,472.2,2240,Near,2751.2,CA,,,
Churro,Object,Novel,2,400.8,n/a,n/a,0,0,410.4,2360.4,Far,2770.4,CA,,,
Churro,Environment,Familiar,2,95,95.2,150,2,56.2,215.6,2464,Near,2737.4,CA,,,
Churro,Environment,Novel,2,1202.4,1202.6,n/a,0,14.4,123,2616.6,Near,2753.6,CA,,,
Tembleque,Object,Familiar,1,91.8,149.8,n/a,0,54.8,253.8,2431.2,Near,2739.6,CA,,,
Tembleque,Object,Novel,1,1820.6,n/a,n/a,0,0,66.6,2694.4,Far,2760.6,CA,,,
Tembleque,Environment,Familiar,2,70.6,160.4,161,2.4,1.2,233.6,2495.6,Near,2732.4,CA,,,
Tembleque,Environment,Novel,2,25.6,132,n/a,0,2,140,2574,Near,2715.8,CA,,,
Tembleque,Environment,Familiar,1,321,322.6,322.8,220.6,161.2,702,1642.2,Near,2725.6,CA,,,
Tembleque,Environment,Novel,1,723.8,1140.2,n/a,0,95,650.8,1994.8,Near,2740.2,CA,,,
Polvorones,Object,Familiar,1,290.6,359.4,n/a,0,42.6,468,2309.2,Near,2819.4,CA,,,
Polvorones,Object,Novel,1,393.2,2447.4,n/a,0,0.4,667.8,2118.2,Near,2786,CA,,,
Polvorones,Environment,Familiar,1,623.8,624,668.8,12.8,8,248,2469.8,Near,2738.2,CA,,,
Polvorones,Environment,Novel,1,594.2,758.4,n/a,0,25.2,433,2263.4,Near,2721.4,CA,,,
Polvorones,Environment,Familiar,1,218,218.8,219.6,12.2,61.6,521.6,2179.2,Near,2774.2,CA,,,
Polvorones,Environment,Novel,2,813.4,846.6,n/a,0,55.8,431,2280.8,Near,2767.2,CA,,,
Chocolate,Object,Familiar,1,101.8,103,n/a,0,35,405.4,2376.6,Near,2716.6,CA,,,
Chocolate,Object,Novel,1,140.6,n/a,n/a,0,0,883.8,1839.2,Far,2722.6,CA,,,
Chocolate,Object,Familiar,2,184.2,228.8,n/a,0,52.4,589.2,2070.2,Near,2711.4,CA,,,
Chocolate,Object,Novel,2,60.6,n/a,n/a,0,0,618.4,2091.8,Far,2709.8,CA,,,
Chocolate,Environment,Familiar,1,315,407.2,407.6,7,34.6,455.6,2237.6,Near,2734.4,CA,,,
Chocolate,Environment,Novel,1,91.4,n/a,n/a,0,0,611.6,2116.2,Far,2727.4,CA,,,
Chocolate,Environment,Familiar,2,44.6,n/a,n/a,0,0,133.6,2715.2,Far,2848.4,CA,,,
Chocolate,Environment,Novel,2,426,n/a,n/a,0,0,377.4,2416.2,Far,2793.2,CA,,,
Alegria,Environment,Familiar,1,285.8,286,716,18,19.4,631.4,2065.6,Near,2734,CA,,,
Alegria,Environment,Novel,1,716.4,n/a,n/a,0,0,275.4,2453.8,Far,2728.8,CA,,,
Alegria,Object,Familiar,1,11.2,11.2,n/a,0,12.6,964.6,1745.2,Near,2722.2,CA,,,
Alegria,Object,Novel,1,2169.4,n/a,n/a,0,0,0,2721.6,OutOfView,2721.6,CA,,,
Alegria,Environment,Familiar,2,317,318,317.2,42.8,18.4,459.8,2379.6,Near,2900.2,CA,,,
Alegria,Environment,Novel,2,1465,n/a,n/a,0,0,315,2402.8,Far,2717.4,CA,,,
Alegria,Object,Familiar,2,314.2,1165.8,n/a,0,1.8,226.4,2498.2,Near,2726.2,CA,,,
Alegria,Object,Novel,2,2115.2,n/a,n/a,0,0,28,2722.6,Far,2750.2,CA,,,
Sopapilla,Environment,Familiar,1,22,22,22,2.8,18,132,2609,Near,2761.4,CA,,,
Sopapilla,Environment,Novel,1,481,481,n/a,0,15.8,76.4,2630,Near,2721.8,CA,,,
Sopapilla,Object,Familiar,1,1186,1198,n/a,0,27.4,189.4,2532.8,Near,2749.2,CA,,,
Sopapilla,Object,Novel,1,553.2,853.2,n/a,0,8,212.2,2495.6,Near,2715.6,CA,,,
Sopapilla,Environment,Familiar,2,346.6,1632.2,1632.4,2.6,6.8,119.4,2634,Near,2762.6,CA,,,
Sopapilla,Environment,Novel,2,336.4,n/a,n/a,0,0,128.4,2659.2,Far,2787.4,CA,,,
Sopapilla,Object,Novel,2,1750.2,n/a,n/a,0,0,58.6,2811.4,Far,2869.6,CA,,,
Sopapilla,Object,Familiar,2,329.4,340.4,n/a,0,22,320.4,2376.8,Near,2718.8,CA,,,
Pina,Environment,Familiar,1,2050.6,2050.6,2050.6,3.6,6,99.4,2618.4,Near,2727.2,CA,,,
Pina,Environment,Novel,1,2724,n/a,n/a,0,0,0,2724,OutOfView,2724,CA,,,
Pina,Environment,Familiar,2,20.2,20.2,20.2,0.4,0.4,123.6,2608.8,Near,2733,CA,,,
Pina,Environment,Novel,2,2728.8,n/a,n/a,0,0,0,2728.8,OutOfView,2728.8,CA,,,
Camote,Environment,Familiar,1,309.2,317.4,325,3.8,9,127,2585,Near,2752.6,CA,,,
Camote,Environment,Novel,1,2715.2,n/a,n/a,0,0,0,2715.4,Out of view,2715.2,CA,,,
Camote,Environment,Familiar,2,413,413.8,412.8,1,0.6,222,2508.2,Near,2731.6,CA,,,
Camote,Environment,Novel,2,2536.8,n/a,n/a,0,0,23,2699.2,Far,2722,CA,,,
Tres Leches,Environment,Familiar,1,183.2,183.2,588,9.6,28.2,145.2,2558.4,Near,2741.2,CA,,,
Tres Leches,Environment,Novel,1,642,1692.6,n/a,0,4,65.8,2682.6,Near,2752.2,CA,,,
Tres Leches,Environment,Familiar,2,118,118.6,118.2,28.4,67,214.4,2438.6,Near,2748.2,CA,,,
Tres Leches,Environment,Novel,2,2129.8,n/a,n/a,0,0,30.8,2732.2,Far,2762.8,CA,,,
Helado,Environment,Familiar,1,107.4,107.6,116,10.4,15.6,357.8,2353.2,Near,2736.8,CA,,,
Helado,Environment,Novel,1,2640,n/a,n/a,0,0,30.8,2696.8,Far,2727.4,CA,,,
Helado,Environment,Familiar,2,37.8,38.6,38,498.2,82.4,349.4,1813.4,Near,2743.2,CA,,,
Helado,Environment,Novel,2,2749,n/a,n/a,0,0,0,2749.2,Out of view,2749,CA,,,
Zapote,Environment,Familiar,1,1840,17.6,17.8,12.2,1.4,250.6,2464.4,Near,2728.6,CA,,,
Zapote,Environment,Novel,1,1492.2,n/a,n/a,0,0,239.8,2480.2,Far,2719.8,CA,,,
Zapote,Environment,Familiar,2,2.8,2.8,143.6,6.6,1.6,491.6,2248.2,Near,2747.8,CA,,,
Zapote,Environment,Novel,2,2748.4,n/a,n/a,0,0,0,2748.4,OutOfView,2748.4,CA,,,
Merengue,Environment,Familiar,1,460.2,460.4,466.4,9.4,14.6,114.6,2574.8,Near,2713.2,CA,,,
Merengue,Environment,Novel,1,1076,n/a,n/a,0,0,155.8,2554.2,Far,2709.8,CA,,,
Merengue,Environment,Familiar,2,282.4,282.4,282.6,4.4,3.6,359,2363.2,Near,2730,CA,,,
Merengue,Environment,Novel,2,2105.6,n/a,n/a,0,0,27.4,2708.2,Far,2735.4,CA,,,
Carlota,Environment,Familiar,1,271.2,274.6,271.4,49.6,100.8,79.4,2494.6,Near,2724.2,CA,,,
Carlota,Environment,Novel,1,1312.4,2246.6,n/a,0,4,139.8,2543.6,Near,2687.2,CA,,,
Carlota,Environment,Familiar,2,437.4,442.2,437.6,106,146.8,151,2326.6,Near,2730.2,CA,,,
Carlota,Environment,Novel,2,71.2,1327.2,n/a,0,16.2,290.4,2432.2,Near,2738.6,CA,,,
Bunuelo,Environment,Familiar,1,0,0,21.4,91.8,176.6,501.8,1973,Near,2743,CA,,,
Bunuelo,Environment,Novel,1,502.6,611.2,1415.4,2.6,235.6,635.2,1839.8,Near,2713,CA,,,
Bunuelo,Environment,Familiar,2,1058.4,1373.4,1373.8,3,0.4,46.6,2677.8,Near,2727.6,CA,,,
Bunuelo,Environment,Novel,2,56.4,59.2,n/a,0,2.8,106.8,2612.2,Near,2722.6,CA,,,
Dulce,Environment,Familiar,1,74.2,257.8,259.6,16,151.8,363.4,2199.6,Near,2730.6,CA,,,
Dulce,Environment,Novel,1,636.2,n/a,n/a,0,0,53,2675.4,Far,2728.2,CA,,,
