"","BirdID","Test","Condition","Time","LatencyFirstLand","LatencyFirstTimeWithin20cmOfObject","LatencyFirstEnterTent","TotalDurationInTent","TotalDurationNear.20cm","TotalDurationFar.20cm","TotalDurationOutOfView","ClosestDistanceToApparatus","TrialDuration","TotalTouchesToApparatusPerVideo","SumTotalTouchesAcrossAllVideos","MotorActionsUsed","TotalNumberMotorActionsUsedForThisBirdInThisExperiment","Site"
"54","Mole","Object","Novel",1,671,"n/a","n/a",0,0,594.6,2134.4,"Far",2728.8,"n/a","n/a","n/a","n/a","AZ"
"55","Mole","Object","Familiar",2,7,"22.2","n/a",0,108.4,782.4,1899.2,"Touch",2789.8,"8","n/a","n/a","n/a","AZ"
"56","Mole","Object","Novel",2,16.8,"2589.4","n/a",0,3.6,1637.6,1101.8,"Near",2742.8,"n/a","22","n/a","6","AZ"
"57","Habanero","Environment","Familiar",1,152.6,"154","288.6",92.8,505.8,1251.2,862.8,"Near",2712.4,"n/a","n/a","n/a","n/a","AZ"
"58","Habanero","Environment","Novel",1,234,"234","n/a",0,193.2,1101.6,1422.6,"Near",2717.2,"n/a","n/a","n/a","n/a","AZ"
"59","Habanero","Environment","Familiar",2,125.4,"125.4","125.4",6.8,13,949.6,1622.6,"Near",2591.8,"n/a","n/a","n/a","n/a","AZ"
"60","Habanero","Environment","Novel",2,336,"469.2","n/a",0,18.2,572,2110.8,"Near",2700.8,"n/a","0","n/a","0","AZ"
"61","Habanero","Object","Familiar",1,95.6,"110.8","n/a",0,62,1809.6,913.2,"Touch",2784.6,"6","n/a","PeckVert, StandOnTop","n/a","AZ"
"62","Habanero","Object","Novel",1,207.8,"859","n/a",0,16,1465.4,1233.6,"Near",2714.8,"n/a","n/a","n/a","n/a","AZ"
"63","Habanero","Object","Familiar",2,1298.4,"1438.6","n/a",0,12.8,1112.8,1588.8,"Touch",2714.2,"1","n/a","n/a","n/a","AZ"
"64","Habanero","Object","Novel",2,1767.6,"n/a","n/a",0,0,278.6,2437,"Far",2715.4,"n/a","7","n/a","2","AZ"
"65","Tapa","Environment","Familiar",1,423.6,"1394","n/a",0,34.6,89.6,2650.6,"Near",2774.6,"n/a","n/a","n/a","n/a","AZ"
"66","Tapa","Environment","Novel",1,617.4,"708.2","n/a",0,6.4,160.6,2543.8,"Near",2710.6,"n/a","n/a","n/a","n/a","AZ"
"67","Tapa","Environment","Familiar",2,1267.2,"1274.6","1276.8",8.8,14,64.8,2606,"Near",2693.4,"n/a","n/a","n/a","n/a","AZ"
"68","Tapa","Environment","Novel",2,1950,"2525.6","n/a",0,6.2,72.6,2635.4,"Near",2714,"n/a","0","n/a","0","AZ"
"69","Tapa","Object","Familiar",1,51.4,"1168.4","n/a",0,14.6,210,2548.6,"Touch",2773,"6","n/a","PeckVert","n/a","AZ"
"70","Tapa","Object","Novel",1,3400,"n/a","n/a",0,0,0,2732.4,"OutOfView",2732.4,"n/a","n/a","n/a","n/a","AZ"
"71","Tapa","Object","Familiar",2,182,"188.2","n/a",0,24,95.8,2594,"Near",2713.6,"n/a","n/a","n/a","n/a","AZ"
"72","Tapa","Object","Novel",2,3400,"n/a","n/a",0,0,0,3171.8,"OutOfView",3171.8,"n/a","6","n/a","1","AZ"
"73","Fideo","Environment","Familiar",1,70.6,"595.2","596",9.6,29.4,202.6,2483.8,"Near",2725.2,"n/a","n/a","n/a","n/a","AZ"
"74","Fideo","Environment","Novel",1,2393.8,"n/a","n/a",0,0,0,2734.2,"OutOfView",2734.2,"n/a","n/a","n/a","n/a","AZ"
"75","Fideo","Environment","Familiar",2,725,"730.6","742.4",6.4,15.4,283.6,2491.8,"Near",2797,"n/a","n/a","n/a","n/a","AZ"
"76","Fideo","Environment","Novel",2,1299,"n/a","n/a",0,0,70,2657.4,"Far",2727.2,"n/a","0","n/a","0","AZ"
"77","Fideo","Object","Familiar",1,245.2,"339.8","n/a",0,1.4,169.4,2552.2,"Near",2722.8,"n/a","n/a","n/a","n/a","AZ"
"78","Fideo","Object","Novel",1,3400,"n/a","n/a",0,0,0,2731.6,"OutOfView",2731.6,"n/a","n/a","n/a","n/a","AZ"
"79","Fideo","Object","Familiar",2,1564.6,"n/a","n/a",0,0,392.2,2331.6,"Far",2723.6,"n/a","n/a","n/a","n/a","AZ"
"80","Fideo","Object","Novel",2,645.2,"n/a","n/a",0,0,56.2,2664.8,"Far",2720.8,"n/a","0","n/a","0","AZ"
"81","Avocada","Environment","Familiar",1,33,"1380.2","1381.6",5.4,23,753,1935.6,"Near",2716.8,"n/a","n/a","n/a","n/a","AZ"
"82","Avocada","Environment","Novel",1,953.2,"1068.8","n/a",0,41.8,1145,1592.4,"Near",2779,"n/a","n/a","n/a","n/a","AZ"
"83","Avocada","Environment","Familiar",2,210,"227.2","234.2",19.8,84.4,445,2163.6,"Near",2712.6,"n/a","n/a","n/a","n/a","AZ"
"84","Avocada","Environment","Novel",2,270.4,"286.6","n/a",0,33.8,726.2,1944.2,"Near",2704,"n/a","0","n/a","0","AZ"
"85","Avocada","Object","Familiar",1,134.2,"888","n/a",0,2,490,2107.4,"Near",2599.2,"n/a","n/a","n/a","n/a","AZ"
"86","Avocada","Object","Novel",1,673.2,"n/a","n/a",0,0,651,2086,"Far",2736.8,"n/a","n/a","n/a","n/a","AZ"
"87","Avocada","Object","Familiar",2,128.2,"n/a","n/a",0,0,1114.8,1638,"Far",2752.6,"n/a","n/a","n/a","n/a","AZ"
"88","Avocada","Object","Novel",2,1035,"n/a","n/a",0,0,857,1856.2,"Far",2713,"n/a","0","n/a","0","AZ"
