"FocalFollowNumber, Bird ID, Date",1NumberDifferentFoodsEaten,2NumberDifferentFoodsEaten,1NumberForagingTechniques,2NumberForagingTechniques,1NumberAffiliativeInteractions,2NumberAffiliativeInteractions,1NumberAggressiveInteractions,2NumberAggressiveInteractions,1NumberTimesSubjectInitiatedAggression,2NumberTimesSubjectInitiatedAggression,1Microhabitat,2Microhabitat,Coder1,Coder2,Notes
"7,Chile,2019-05-29",0,0,0,0,0,0,3,1,3,1,Tree,Tree,Luisa,Melissa,
"8,Taquito,2019-05-29",0,0,0,0,12,12,12,8,5,8,Building,Building,Luisa,Melissa,
"9,Chalupa,2019-06-04",0,1,0,0,4,4,1,1,1,0,Tree,Tree,Luisa,Melissa,didn't include 2 affiliations when Chalupa was out of view of Luisa
"10,Chile,2019-06-05",1,2,2,2,6,6,5,6,5,6,Tree,Tree,Luisa,Melissa,
"11,Fideo,2019-06-06",0,0,0,0,12,12,19,22,13,12,Wooden post,wooden post,Luisa,Melissa,"didn't include 1 solicitation, and 4 aggressive interactions when Fideo was out of view of Melissa"
"12,UBF,2019-06-10",0,0,1,1,0,0,0,0,0,0,Cement,Cement,Luisa,Melissa,didn't include 2 vicinities where she was out of view for Luisa
